Sl. No.,Category - (Col.2),State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above - Below 18 years - Male,14 and Above - Below 18 years - Female,14 and Above - Below 18 years - Transgender,14 and Above - Below 18 years - Total,18 and Above - Below 30 years - Male,18 and Above - Below 30 years - Female,18 and Above - Below 30 years - Transgender,18 and Above - Below 30 years - Total,30 and Above - Below 45 years - Male,30 and Above - Below 45 years - Female,30 and Above - Below 45 years - Transgender,30 and Above - Below 45 years - Total,45 and Above - Below 60 years - Male,45 and Above - Below 60 years - Female,45 and Above - Below 60 years - Transgender,45 and Above - Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,286,112,0,398,831,198,0,1029,3752,651,0,4403,4453,754,0,5207,3330,641,0,3971,1370,431,0,1801,14022,2787,0,16809
2,State,Arunachal Pradesh,8,7,0,15,14,6,0,20,129,21,0,150,100,11,0,111,32,6,0,38,5,0,0,5,288,51,0,339
3,State,Assam,187,55,0,242,464,193,0,657,1393,291,0,1684,1226,219,1,1446,839,114,1,954,233,40,0,273,4342,912,2,5256
4,State,Bihar,798,247,0,1045,1338,432,0,1770,3696,826,0,4522,2513,602,0,3115,1450,331,0,1781,378,106,0,484,10173,2544,0,12717
5,State,Chhattisgarh,874,513,0,1387,833,426,3,1262,4234,1417,0,5651,4083,1100,1,5184,2786,782,0,3568,1232,555,0,1787,14042,4793,4,18839
6,State,Goa,19,9,0,28,9,1,0,10,177,18,0,195,190,29,0,219,135,23,0,158,92,36,0,128,622,116,0,738
7,State,Gujarat,560,255,0,815,1014,301,0,1315,5154,1308,2,6464,6584,1430,1,8015,4881,903,0,5784,1838,483,0,2321,20031,4680,3,24714
8,State,Haryana,233,81,0,314,668,155,0,823,4267,712,0,4979,4542,634,0,5176,3024,366,0,3390,749,127,0,876,13483,2075,0,15558
9,State,Himachal Pradesh,70,52,0,122,92,42,0,134,534,148,0,682,748,169,0,917,600,102,0,702,262,48,0,310,2306,561,0,2867
10,State,Jammu & Kashmir,34,16,0,50,75,26,0,101,454,77,0,531,448,76,0,524,224,25,0,249,55,9,0,64,1290,229,0,1519
11,State,Jharkhand,107,43,0,150,966,173,0,1139,1634,301,0,1935,1414,284,0,1698,946,214,1,1161,416,94,1,511,5483,1109,2,6594
12,State,Karnataka,427,210,0,637,741,183,0,924,4699,1035,0,5734,7154,1427,0,8581,5211,1034,0,6245,2241,631,0,2872,20473,4520,0,24993
13,State,Kerala,278,153,0,431,263,68,1,332,1755,210,0,1965,2450,405,0,2855,3099,614,2,3715,2242,770,1,3013,10087,2220,4,12311
14,State,Madhya Pradesh,2180,1230,2,3412,2017,1001,0,3018,9202,3012,0,12214,9549,2641,0,12190,6068,1533,0,7601,2739,980,0,3719,31755,10397,2,42154
15,State,Maharashtra,1639,1169,1,2809,1738,615,0,2353,11256,3312,3,14571,17594,3946,1,21541,14578,3065,0,17643,7425,2491,1,9917,54230,14598,6,68834
16,State,Manipur,11,2,0,13,16,4,0,20,63,12,0,75,100,11,0,111,65,4,0,69,11,1,0,12,266,34,0,300
17,State,Meghalaya,25,8,0,33,23,8,0,31,164,24,0,188,117,11,1,129,44,9,0,53,18,7,0,25,391,67,1,459
18,State,Mizoram,8,10,0,18,4,2,0,6,45,8,0,53,54,14,0,68,23,7,0,30,9,3,0,12,143,44,0,187
19,State,Nagaland,10,1,0,11,5,2,0,7,12,6,0,18,24,5,0,29,19,0,0,19,2,0,0,2,72,14,0,86
20,State,Odisha,232,123,0,355,820,316,0,1136,4350,989,0,5339,4725,1043,0,5768,3192,686,0,3878,1372,400,0,1772,14691,3557,0,18248
21,State,Punjab,150,72,0,222,341,117,0,458,2360,430,0,2790,3243,500,1,3744,2045,222,1,2268,736,110,0,846,8875,1451,2,10328
22,State,Rajasthan,585,292,0,877,1575,487,0,2062,6883,1613,0,8496,7967,1627,0,9594,4799,815,0,5614,1412,320,0,1732,23221,5154,0,28375
23,State,Sikkim,8,1,0,9,2,3,0,5,57,8,0,65,77,18,0,95,63,14,0,77,24,4,0,28,231,48,0,279
24,State,Tamil Nadu,584,206,2,792,735,287,0,1022,5009,1194,2,6205,6172,1422,3,7597,4424,995,0,5419,2670,907,0,3577,19594,5011,7,24612
25,State,Telangana,250,90,0,340,774,142,0,916,2470,405,1,2876,2991,584,0,3575,2049,406,0,2455,678,182,0,860,9212,1809,1,11022
26,State,Tripura,33,29,0,62,40,9,0,49,118,42,0,160,163,31,0,194,142,20,0,162,63,21,0,84,559,152,0,711
27,State,Uttar Pradesh,1087,337,0,1424,2629,620,0,3249,10313,2046,1,12360,9489,2117,0,11606,5342,1084,0,6426,2032,523,0,2555,30892,6727,1,37620
28,State,Uttarakhand,25,17,0,42,125,25,0,150,454,131,0,585,495,169,0,664,318,78,0,396,68,19,0,87,1485,439,0,1924
29,State,West Bengal,356,209,0,565,972,331,0,1303,3517,924,0,4441,3850,976,0,4826,2707,811,0,3518,1195,536,0,1731,12597,3787,0,16384
State,State,Total (States),11064,5549,5,16618,19124,6173,4,25301,88151,21171,9,109331,102515,22255,9,124779,72435,14904,5,87344,31567,9834,3,41404,324856,79886,35,404777
30,Union Territory,A & N Islands,7,4,0,11,1,1,0,2,28,3,0,31,38,6,0,44,51,7,0,58,28,9,0,37,153,30,0,183
31,Union Territory,Chandigarh,0,0,0,0,3,0,0,3,41,14,0,55,80,14,0,94,64,16,0,80,8,2,0,10,196,46,0,242
32,Union Territory,D & N Haveli,4,5,0,9,5,0,0,5,62,4,0,66,38,4,0,42,24,4,0,28,11,2,0,13,144,19,0,163
33,Union Territory,Daman & Diu,4,3,0,7,5,0,0,5,45,5,0,50,40,2,0,42,23,2,0,25,6,2,0,8,123,14,0,137
34,Union Territory,Delhi (UT),142,65,0,207,192,40,0,232,1350,186,0,1536,1550,247,0,1797,908,125,0,1033,247,51,0,298,4389,714,0,5103
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,4,0,0,0,0,6,0,0,6
36,Union Territory,Puducherry,6,4,0,10,23,6,0,29,105,24,0,129,358,41,0,399,402,38,0,440,164,42,0,206,1058,155,0,1213
Union Territory,Union Territory,Total (UTs),163,81,0,244,229,47,0,276,1631,236,0,1867,2106,314,0,2420,1476,192,0,1668,464,108,0,572,6069,978,0,7047
Total (All India),Total (All India),Total (All India),11227,5630,5,16862,19353,6220,4,25577,89782,21407,9,111198,104621,22569,9,127199,73911,15096,5,89012,32031,9942,3,41976,330925,80864,35,411824
37,City,Agra,8,0,0,8,16,2,0,18,91,24,0,115,97,13,0,110,72,2,0,74,13,2,0,15,297,43,0,340
38,City,Ahmedabad,53,23,0,76,53,9,0,62,329,98,2,429,504,80,0,584,453,83,0,536,231,67,0,298,1623,360,2,1985
39,City,Allahabad,23,16,0,39,32,20,0,52,81,35,0,116,61,34,0,95,25,7,0,32,43,34,0,77,265,146,0,411
40,City,Amritsar,4,0,0,4,5,1,0,6,49,13,0,62,114,18,0,132,93,8,0,101,38,3,0,41,303,43,0,346
41,City,Asansol,20,7,0,27,19,5,0,24,151,48,0,199,141,39,0,180,101,37,0,138,56,39,0,95,488,175,0,663
42,City,Aurangabad,30,18,0,48,17,4,0,21,194,58,0,252,300,67,0,367,279,63,0,342,170,40,0,210,990,250,0,1240
43,City,Bengaluru,68,45,0,113,46,14,0,60,561,120,0,681,979,150,0,1129,943,160,0,1103,429,128,0,557,3026,617,0,3643
44,City,Bhopal,18,18,0,36,39,15,0,54,122,51,0,173,174,41,0,215,128,24,0,152,87,25,0,112,568,174,0,742
45,City,Chandigarh (City),0,0,0,0,3,0,0,3,41,14,0,55,80,14,0,94,64,16,0,80,8,2,0,10,196,46,0,242
46,City,Chennai,97,17,0,114,216,36,0,252,406,73,0,479,399,75,1,475,288,64,0,352,172,78,0,250,1578,343,1,1922
47,City,Coimbatore,4,6,0,10,4,2,0,6,61,13,1,75,136,34,0,170,119,13,0,132,87,13,0,100,411,81,1,493
