Category,State/UT,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above-Below 18 years - Male,14 and Above-Below 18 years - Female,14 and Above-Below 18 years - Transgender,14 and Above-Below 18 years - Total,18 and Above-Below 30 years - Male,18 and Above-Below 30 years - Female,18 and Above-Below 30 years - Transgender,18 and Above-Below 30 years - Total,30 and Above-Below 45 years - Male,30 and Above-Below 45 years - Female,30 and Above-Below 45 years - Transgender,30 and Above-Below 45 years - Total,45 and Above-Below 60 years - Male,45 and Above-Below 60 years - Female,45 and Above-Below 60 years - Transgender,45 and Above-Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
State,ANDHRA PRADESH,326,143,0,469,544,137,0,681,3725,530,1,4256,5120,845,1,5966,3685,728,0,4413,1602,551,0,2153,15002,2934,2,17938
State,ARUNACHAL PRADESH,10,9,0,19,7,4,0,11,91,14,0,105,92,6,0,98,33,5,0,38,3,1,0,4,236,39,0,275
State,ASSAM,135,67,0,202,348,147,0,495,1574,327,0,1901,1430,251,0,1681,800,119,0,919,208,30,0,238,4495,941,0,5436
State,BIHAR,1136,420,0,1556,1903,536,0,2439,3942,834,0,4776,2737,737,0,3474,1614,416,0,2030,700,236,0,936,12032,3179,0,15211
State,CHHATTISGARH,877,539,0,1416,684,457,0,1141,4506,1477,0,5983,4274,1194,1,5469,2992,883,0,3875,1305,600,0,1905,14638,5150,1,19789
State,GOA,12,11,0,23,23,2,0,25,177,19,0,196,233,16,0,249,132,22,0,154,108,40,0,148,685,110,0,795
State,GUJARAT,504,265,0,769,858,274,0,1132,4881,1114,1,5996,6546,1220,1,7767,4962,815,0,5777,1966,503,0,2469,19717,4191,2,23910
State,HARYANA,239,137,0,376,571,165,0,736,4107,874,0,4981,4778,697,1,5476,2721,335,0,3056,855,159,0,1014,13271,2367,1,15639
State,HIMACHAL PRADESH,68,41,0,109,84,41,0,125,655,126,0,781,886,147,0,1033,724,114,0,838,307,63,0,370,2724,532,0,3256
State,JAMMU & KASHMIR,43,20,0,63,75,17,0,92,435,82,0,517,434,75,0,509,178,44,0,222,39,9,0,48,1204,247,0,1451
State,JHARKHAND,98,47,0,145,838,170,0,1008,1726,386,1,2113,1756,421,1,2178,1224,288,1,1513,539,206,1,746,6181,1518,4,7703
State,KARNATAKA,495,263,0,758,907,197,0,1104,4881,886,1,5768,7110,1306,3,8419,5155,1009,1,6165,2509,728,0,3237,21057,4389,5,25451
State,KERALA,273,122,0,395,248,43,0,291,1761,197,0,1958,2446,415,0,2861,3623,716,0,4339,2903,1016,0,3919,11254,2509,0,13763
State,MADHYA PRADESH,2233,1228,0,3461,1869,886,0,2755,9481,2628,0,12109,10042,2547,0,12589,6333,1630,0,7963,2638,914,2,3554,32596,9833,2,42431
State,MAHARASHTRA,1650,1272,1,2923,1513,583,0,2096,10671,3141,4,13816,18215,3749,3,21967,15007,3261,0,18268,8351,2904,4,11259,55407,14910,12,70329
State,MANIPUR,2,6,0,8,16,5,0,21,91,16,0,107,98,13,0,111,43,6,0,49,11,2,0,13,261,48,0,309
State,MEGHALAYA,23,19,0,42,17,1,0,18,127,16,0,143,128,17,0,145,78,10,0,88,31,9,0,40,404,72,0,476
State,MIZORAM,9,7,0,16,1,1,0,2,53,2,0,55,61,5,0,66,20,3,0,23,6,3,0,9,150,21,0,171
State,NAGALAND,4,1,0,5,5,0,0,5,18,1,0,19,19,1,0,20,9,0,0,9,1,4,0,5,56,7,0,63
State,ODISHA,344,121,0,465,981,264,0,1245,3510,633,0,4143,3861,816,0,4677,3120,749,0,3869,1758,302,0,2060,13574,2885,0,16459
State,PUNJAB,143,63,0,206,344,96,0,440,2393,386,0,2779,3537,463,0,4000,2300,264,1,2565,928,130,0,1058,9645,1402,1,11048
State,RAJASTHAN,637,313,0,950,1439,539,0,1978,7040,1554,0,8594,8376,1471,0,9847,4794,801,0,5595,1418,314,1,1733,23704,4992,1,28697
State,SIKKIM,5,5,0,10,6,2,0,8,67,8,0,75,103,19,0,122,40,8,0,48,23,9,0,32,244,51,0,295
State,TAMIL NADU,457,248,0,705,836,255,0,1091,4445,772,0,5217,5363,1018,2,6383,4590,970,0,5560,2667,781,0,3448,18358,4044,2,22404
State,TELANGANA,219,89,0,308,385,192,0,577,2587,488,1,3076,3430,625,0,4055,2173,448,0,2621,838,245,0,1083,9632,2087,1,11720
State,TRIPURA,30,17,0,47,16,8,0,24,149,21,0,170,193,49,0,242,132,15,0,147,62,15,0,77,582,125,0,707
State,UTTAR PRADESH,1134,426,0,1560,2828,688,0,3516,10531,2319,0,12850,10486,2314,0,12800,5928,1248,0,7176,2152,542,0,2694,33059,7537,0,40596
State,UTTARAKHAND,28,9,0,37,51,18,0,69,502,87,0,589,602,95,0,697,351,52,0,403,71,20,0,91,1605,281,0,1886
State,WEST BENGAL,306,155,0,461,736,237,0,973,3594,857,0,4451,4046,941,0,4987,2704,746,0,3450,1177,485,1,1663,12563,3421,1,15985
State,TOTAL (STATES),11440,6063,1,17504,18133,5965,0,24098,87720,19795,9,107524,106402,21473,13,127888,75465,15705,3,91173,35176,10821,9,46006,334336,79822,35,414193
UT,A & NISLANDS,7,2,0,9,1,0,0,1,25,8,0,33,44,3,0,47,54,8,0,62,37,9,0,46,168,30,0,198
UT,CHANDIGARH,8,0,0,8,9,4,0,13,85,19,0,104,115,31,0,146,71,17,0,88,46,9,0,55,334,80,0,414
UT,D & N HAVELI,10,4,0,14,6,0,0,6,45,2,0,47,27,4,0,31,14,3,0,17,7,2,0,9,109,15,0,124
UT,DAMAN & DIU,3,4,0,7,3,1,0,4,32,6,0,38,44,4,0,48,32,6,0,38,9,4,0,13,123,25,0,148
UT,DELHI (UT),90,75,0,165,172,57,0,229,1281,181,1,1463,1495,190,0,1685,814,113,0,927,382,68,0,450,4234,684,1,4919
UT,LAKSHADWEEP,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,5,0,0,5
UT,PUDUCHERRY,7,3,0,10,24,1,0,25,127,40,1,168,321,45,0,366,384,32,0,416,95,23,0,118,958,144,1,1103
UT,TOTAL (UTs),127,88,0,215,215,63,0,278,1596,256,2,1854,2047,277,0,2324,1370,179,0,1549,576,115,0,691,5931,978,2,6911
TOTAL (ALL INDIA),TOTAL (ALL INDIA),11567,6151,1,17719,18348,6028,0,24376,89316,20051,11,109378,108449,21750,13,130212,76835,15884,3,92722,35752,10936,9,46697,340267,80800,37,421104
City,AGRA,8,3,0,11,35,3,0,38,148,22,0,170,122,16,0,138,67,20,0,87,16,1,0,17,396,65,0,461
City,AHMEDABAD,48,22,0,70,31,10,0,41,312,68,0,380,511,71,1,583,428,71,0,499,209,54,0,263,1539,296,1,1836
City,ALLAHABAD,15,11,0,26,45,14,0,59,51,24,0,75,45,23,0,68,21,5,0,26,33,34,0,67,210,111,0,321
City,AMRITSAR,4,1,0,5,9,1,0,10,48,8,0,56,106,9,0,115,119,9,0,128,79,7,0,86,365,35,0,400
City,ASANSOL,13,9,0,22,26,9,0,35,248,65,0,313,210,62,0,272,130,47,0,177,93,67,0,160,720,259,0,979
City,AURANGABAD,35,23,0,58,16,4,0,20,140,36,0,176,250,43,0,293,241,40,0,281,159,49,0,208,841,195,0,1036
City,BENGALURU,83,56,0,139,49,13,0,62,622,125,0,747,1168,167,3,1338,928,123,1,1052,537,141,0,678,3387,625,4,4016
City,BHOPAL,31,17,0,48,39,13,0,52,149,32,0,181,173,26,0,199,156,15,0,171,70,19,0,89,618,122,0,740
City,CHANDIGARH (CITY),8,0,0,8,9,4,0,13,85,19,0,104,115,31,0,146,71,17,0,88,46,9,0,55,334,80,0,414
City,CHENNAI,107,57,0,164,180,22,0,202,360,51,0,411,346,74,0,420,295,78,0,373,288,87,0,375,1576,369,0,1945
City,COIMBATORE,4,5,0,9,8,8,0,16,69,7,0,76,155,14,0,169,140,15,0,155,84,15,0,99,460,64,0,524
City,DELHI (CITY),89,74,0,163,166,55,0,221,1177,167,1,1345,1384,174,0,1558,726,110,0,836,328,65,0,393,3870,645,1,4516
City,DHANBAD,2,0,0,2,9,1,0,10,89,7,0,96,32,5,0,37,16,2,0,18,3,2,0,5,151,17,0,168
City,DURG BHILAINAGAR,29,10,0,39,11,7,0,18,153,25,0,178,165,28,0,193,145,28,0,173,111,43,0,154,614,141,0,755
City,FARIDABAD,26,14,0,40,24,5,0,29,568,138,0,706,173,31,0,204,130,15,0,145,42,9,0,51,963,212,0,1175
City,GHAZIABAD,2,0,0,2,16,6,0,22,125,11,0,136,181,26,0,207,77,6,0,83,35,3,0,38,436,52,0,488
City,GWALIOR,11,7,0,18,8,3,0,11,76,7,0,83,91,11,0,102,58,16,0,74,20,6,0,26,264,50,0,314
City,HYDERABAD,8,0,0,8,53,10,0,63,226,29,0,255,208,46,0,254,142,24,0,166,32,12,0,44,669,121,0,790
City,INDORE,44,28,0,72,28,11,0,39,226,52,0,278,309,61,0,370,198,30,0,228,128,27,0,155,933,209,0,1142
City,JABALPUR,0,0,0,0,19,1,0,20,139,21,0,160,128,40,0,168,93,25,0,118,21,1,0,22,400,88,0,488
City,JAIPUR,52,29,0,81,59,23,0,82,568,120,0,688,776,116,0,892,549,90,0,639,207,39,0,246,2211,417,0,2628
City,JAMSHEDPUR,11,7,0,18,30,6,0,36,72,28,0,100,91,29,0,120,68,21,0,89,19,9,0,28,291,100,0,391
City,JODHPUR,4,2,0,6,26,12,0,38,208,52,0,260,342,47,0,389,263,45,0,308,96,16,0,112,939,174,0,1113
City,KANNUR,6,3,0,9,3,1,0,4,25,2,0,27,41,7,0,48,61,8,0,69,49,20,0,69,185,41,0,226
City,KANPUR,47,1,0,48,116,8,0,124,276,56,0,332,332,68,0,400,315,53,0,368,212,36,0,248,1298,222,0,1520
City,KOCHI,8,1,0,9,10,0,0,10,67,8,0,75,114,17,0,131,205,24,0,229,103,38,0,141,507,88,0,595
City,KOLKATA,8,3,0,11,52,21,0,73,83,19,0,102,60,14,0,74,25,14,0,39,14,9,0,23,242,80,0,322
City,KOLLAM,15,2,0,17,18,3,0,21,87,10,0,97,105,22,0,127,165,26,0,191,103,25,0,128,493,88,0,581
City,KOTA,17,6,0,23,13,9,0,22,112,24,0,136,174,34,0,208,147,20,0,167,46,7,0,53,509,100,0,609
City,KOZHIKODE,12,6,0,18,6,0,0,6,86,7,0,93,98,15,0,113,134,31,0,165,111,39,0,150,447,98,0,545
City,LUCKNOW,14,5,0,19,26,10,0,36,188,35,0,223,166,23,0,189,72,14,0,86,18,4,0,22,484,91,0,575
City,LUDHIANA,19,9,0,28,12,3,0,15,185,33,0,218,332,47,0,379,284,31,0,315,89,18,0,107,921,141,0,1062
City,MADURAI,6,4,0,10,21,3,0,24,62,9,0,71,113,22,0,135,139,21,0,160,103,29,0,132,444,88,0,532
City,MALAPPURAM,21,9,0,30,9,2,0,11,62,6,0,68,56,16,0,72,78,15,0,93,48,12,0,60,274,60,0,334
City,MEERUT,4,1,0,5,18,1,0,19,78,6,0,84,59,5,0,64,25,3,0,28,9,3,0,12,193,19,0,212
City,MUMBAI,288,306,1,595,79,66,0,145,861,306,0,1167,2074,410,1,2485,2358,455,0,2813,1422,619,0,2041,7082,2162,2,9246
City,NAGPUR,18,18,0,36,28,16,0,44,279,67,0,346,654,75,0,729,534,58,0,592,297,69,0,366,1810,303,0,2113
City,NASIK,6,1,0,7,51,36,0,87,144,55,0,199,327,59,0,386,424,74,0,498,279,88,0,367,1231,313,0,1544
City,PATNA,9,5,0,14,82,28,0,110,15,27,0,42,5,30,0,35,9,12,0,21,3,0,0,3,123,102,0,225
City,PUNE,147,153,0,300,50,23,0,73,465,101,0,566,985,167,0,1152,957,200,0,1157,506,195,0,701,3110,839,0,3949
City,RAIPUR,37,13,0,50,23,11,0,34,200,59,0,259,262,56,0,318,183,29,0,212,93,35,0,128,798,203,0,1001
City,RAJKOT,13,2,0,15,101,17,0,118,301,83,0,384,243,108,0,351,332,46,0,378,115,19,0,134,1105,275,0,1380
City,RANCHI,0,0,0,0,56,12,0,68,43,16,0,59,60,9,0,69,67,18,0,85,64,22,0,86,290,77,0,367
City,SRINAGAR,3,1,0,4,0,0,0,0,16,2,0,18,49,8,0,57,36,3,0,39,1,0,0,1,105,14,0,119
City,SURAT,72,31,0,103,38,18,0,56,392,81,1,474,720,107,0,827,559,76,0,635,210,48,0,258,1991,361,1,2353
City,THIRUVANANTHAPURAM,4,5,0,9,8,0,0,8,82,8,0,90,140,25,0,165,181,45,0,226,124,33,0,157,539,116,0,655
City,THRISSUR,6,8,0,14,11,1,0,12,66,7,0,73,110,17,0,127,243,32,0,275,208,61,0,269,644,126,0,770
City,TIRUCHIRAPPALLI,3,2,0,5,1,3,0,4,44,7,0,51,51,11,0,62,69,19,0,88,30,10,0,40,198,52,0,250
City,VADODARA,10,4,0,14,10,10,0,20,139,31,0,170,202,41,0,243,202,31,0,233,99,15,0,114,662,132,0,794
City,VARANASI,1,0,0,1,6,2,0,8,55,9,0,64,69,12,0,81,68,21,0,89,84,26,0,110,283,70,0,353
City,VASAI VIRAR,54,38,0,92,21,9,0,30,171,59,0,230,301,57,0,358,230,35,0,265,90,59,0,149,867,257,0,1124
City,VIJAYAWADA,6,1,0,7,6,1,0,7,113,5,0,118,158,23,1,182,109,23,0,132,64,24,0,88,456,77,1,534
City,VISHAKHAPATNAM,12,11,0,23,24,6,0,30,183,42,0,225,226,55,0,281,181,49,0,230,60,25,0,85,686,188,0,874
City,TOTAL (CITIES),1500,1024,1,2525,1795,561,0,2356,10739,2294,2,13035,15367,2710,6,18083,13453,2338,1,15792,7310,2303,0,9613,50164,11230,10,61404
