Sl. No.,Category,State/UT,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,ANDHRA PRADESH,12062,2590,1,14653
2,State,ARUNACHAL PRADESH,308,46,0,354
3,State,ASSAM,4087,826,0,4913
4,State,BIHAR,11416,3058,0,14474
5,State,CHHATTISGARH,15055,5002,0,20057
6,State,GOA,529,82,0,611
7,State,GUJARAT,17349,3448,2,20799
8,State,HARYANA,12677,2172,0,14849
9,State,HIMACHAL PRADESH,2310,441,0,2751
10,State,JAMMU & KASHMIR,1107,198,0,1305
11,State,JHARKHAND,5500,1390,0,6890
12,State,KARNATAKA,20350,4040,8,24398
13,State,KERALA,10505,2476,0,12981
14,State,MADHYA PRADESH,30576,9942,0,40518
15,State,MAHARASHTRA,46088,11716,2,57806
16,State,MANIPUR,247,41,0,288
17,State,MEGHALAYA,410,81,0,491
18,State,MIZORAM,170,25,0,195
19,State,NAGALAND,67,7,0,74
20,State,ODISHA,15133,3755,0,18888
21,State,PUNJAB,8267,1306,0,9573
22,State,RAJASTHAN,18355,4028,1,22384
23,State,SIKKIM,236,63,0,299
24,State,TAMIL NADU,14696,3692,2,18390
25,State,TELANGANA,9868,1954,0,11822
26,State,TRIPURA,544,150,0,694
27,State,UTTAR PRADESH,25859,5832,0,31691
28,State,UTTARAKHAND,1348,315,0,1663
29,State,WEST BENGAL,11456,3338,0,14794
State,State,Total (States),295468,71816,16,367300
30,Union Territory,A & N ISLANDS,168,45,0,213
31,Union Territory,CHANDIGARH,249,74,0,323
32,Union Territory,D & N HAVELI,226,29,0,255
33,Union Territory,DAMAN & DIU,0,0,0,0
34,Union Territory,DELHI (UT),3433,682,1,4116
35,Union Territory,LAKSHADWEEP,3,0,0,3
36,Union Territory,PUDUCHERRY,751,131,0,882
Union Territory,Union Territory,Total (UTs),5937,1159,1,7097
Total (All India),Total (All India),Total (All India),301405,72975,17,374397
