State/UT,less than `1 lakh - Male,less than `1 lakh - Female,less than `1 lakh - Transgender,less than `1 lakh - Total,1 lakh & above - less than 5 lakhs - Male,1 lakh & above - less than 5 lakhs - Female,1 lakh & above - less than 5 lakhs - Transgender,1 lakh & above - less than 5 lakhs - Total,5 lakhs & above - less than 10 lakhs - Male,5 lakhs & above - less than 10 lakhs - Female,5 lakhs & above - less than 10 lakhs - Transgender,5 lakhs & above - less than 10 lakhs - Total,10 lakhs and above - Male,10 lakhs and above - Female,10 lakhs and above - Transgender,10 lakhs and above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
ANDHRA PRADESH,2852,1048,2,3902,1988,705,0,2693,266,109,0,375,51,22,0,73,5157,1884,2,7043
ARUNACHAL PRADESH,76,42,0,118,33,5,0,38,3,1,0,4,0,0,0,0,112,48,0,160
ASSAM,1418,593,0,2011,735,263,0,998,184,50,0,234,0,0,0,0,2337,906,0,3243
BIHAR,178,152,0,330,229,179,0,408,38,21,0,59,6,6,0,12,451,358,0,809
CHHATTISGARH,3121,1456,0,4577,1904,627,0,2531,424,155,0,579,19,4,0,23,5468,2242,0,7710
GOA,141,54,0,195,82,19,0,101,11,1,0,12,0,0,0,0,234,74,0,308
GUJARAT,3529,1975,2,5506,1877,541,0,2418,99,26,0,125,1,0,0,1,5506,2542,2,8050
HARYANA,1550,498,0,2048,1360,368,0,1728,155,41,0,196,19,10,0,29,3084,917,0,4001
HIMACHAL PRADESH,308,201,0,509,179,75,0,254,67,20,0,87,7,0,0,7,561,296,0,857
JHARKHAND,1007,535,0,1542,356,207,0,563,19,15,0,34,4,2,0,6,1386,759,0,2145
KARNATAKA,5815,2193,1,8009,3063,806,0,3869,289,64,0,353,24,4,0,28,9191,3067,1,12259
KERALA,3727,1389,0,5116,2577,497,0,3074,260,42,0,302,6,2,0,8,6570,1930,0,8500
MADHYA PRADESH,6352,3650,0,10002,2727,1017,0,3744,175,37,0,212,409,211,0,620,9663,4915,0,14578
MAHARASHTRA,9621,3344,4,12969,5287,1044,0,6331,481,81,0,562,44,3,0,47,15433,4472,4,19909
MANIPUR,18,11,0,29,6,6,0,12,3,0,0,3,0,0,0,0,27,17,0,44
MEGHALAYA,135,58,0,193,20,0,0,20,8,3,0,11,0,0,0,0,163,61,0,224
MIZORAM,83,18,0,101,4,2,0,6,1,0,0,1,0,0,0,0,88,20,0,108
NAGALAND,25,10,0,35,11,2,0,13,0,0,0,0,0,0,0,0,36,12,0,48
ODISHA,608,467,0,1075,3250,1141,0,4391,49,27,0,76,2,2,0,4,3909,1637,0,5546
PUNJAB,1370,526,1,1897,528,91,0,619,50,3,0,53,44,3,0,47,1992,623,1,2616
RAJASTHAN,2387,1105,1,3493,1525,483,0,2008,98,37,0,135,17,5,0,22,4027,1630,1,5658
SIKKIM,183,65,0,248,32,2,0,34,2,1,0,3,0,0,0,0,217,68,0,285
TAMIL NADU,7816,3857,8,11681,3219,1236,2,4457,534,174,0,708,29,8,0,37,11598,5275,10,16883
TELANGANA,2942,1104,1,4047,2320,854,0,3174,560,179,0,739,71,27,0,98,5893,2164,1,8058
TRIPURA,427,229,0,656,148,20,0,168,21,0,0,21,0,0,0,0,596,249,0,845
UTTAR PRADESH,1563,1136,0,2699,1399,417,0,1816,197,87,0,284,3,2,0,5,3162,1642,0,4804
UTTARAKHAND,498,235,0,733,164,38,0,202,5,3,0,8,0,0,0,0,667,276,0,943
WEST BENGAL,6278,4562,0,10840,1381,491,0,1872,200,54,0,254,108,29,0,137,7967,5136,0,13103
TAL (STATES),64028,30513,20,94561,36404,11136,2,47542,4199,1231,0,5430,864,340,0,1204,105495,43220,22,148737
A & N ISLANDS,65,49,0,114,51,1,0,52,10,0,0,10,4,0,0,4,130,50,0,180
CHANDIGARH,51,31,0,82,27,16,0,43,2,1,0,3,0,0,0,0,80,48,0,128
D & N Haveli and Daman & Diu,31,29,0,60,81,14,0,95,1,0,0,1,0,0,0,0,113,43,0,156
DELHI (UT),955,457,0,1412,1055,371,0,1426,224,64,0,288,13,3,0,16,2247,895,0,3142
JAMMU & KASHMIR,90,74,0,164,55,53,0,108,9,3,0,12,3,0,0,3,157,130,0,287
LADAKH,5,2,0,7,4,0,0,4,1,0,0,1,0,0,0,0,10,2,0,12
LAKSHADWEEP,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
PUDUCHERRY,299,109,0,408,0,0,0,0,0,0,0,0,0,0,0,0,299,109,0,408
TAL (UTs),1497,752,0,2249,1273,455,0,1728,247,68,0,315,20,3,0,23,3037,1278,0,4315
TAL (ALL INDIA),65525,31265,20,96810,37677,11591,2,49270,4446,1299,0,5745,884,343,0,1227,108532,44498,22,153052
