Sl. No.,Category,State/UT,less than Rs. 1 lakh - Male,less than Rs. 1 lakh - Female,less than Rs. 1 lakh - Transgender,less than Rs. 1 lakh - Total,Rs. 1 lakh & above less than Rs. 5 lakhs - Male,Rs. 1 lakh & above less than Rs. 5 lakhs - Female,Rs. 1 lakh & above less than Rs. 5 lakhs - Transgender,Rs. 1 lakh & above less than Rs. 5 lakhs - Total,Rs. 5 lakhs & above less than Rs. 10 lakhs - Male,Rs. 5 lakhs & above less than Rs. 10 lakhs - Female,Rs. 5 lakhs & above less than Rs. 10 lakhs - Transgender,Rs. 5 lakhs & above less than Rs. 10 lakhs - Total,Rs. 10 lakhs and above - Male,Rs. 10 lakhs and above - Female,Rs. 10 lakhs and above - Transgender,Rs. 10 lakhs and above - Total,Total - Male,Total - Female,Total - Transgender,Total
1,State,Andhra Pradesh,3428,1633,0,5061,612,302,0,914,48,22,0,70,7,7,0,14,4095,1964,0,6059
2,State,Arunachal Pradesh,47,34,0,81,31,9,0,40,0,0,0,0,0,0,0,0,78,43,0,121
3,State,Assam,1197,686,0,1883,812,306,0,1118,10,0,0,10,7,5,0,12,2026,997,0,3023
4,State,Bihar,86,86,0,172,92,101,0,193,20,17,0,37,5,4,0,9,203,208,0,411
5,State,Chhattisgarh,2705,1327,0,4032,1096,466,0,1562,774,328,0,1102,7,2,0,9,4582,2123,0,6705
6,State,Goa,124,51,0,175,76,18,0,94,3,1,0,4,0,0,0,0,203,70,0,273
7,State,Gujarat,3712,2257,2,5971,1306,424,1,1731,26,2,0,28,5,0,0,5,5049,2683,3,7735
8,State,Haryana,1781,546,0,2327,924,179,0,1103,174,27,0,201,27,7,0,34,2906,759,0,3665
9,State,Himachal Pradesh,257,183,0,440,137,40,0,177,21,4,0,25,0,0,0,0,415,227,0,642
10,State,Jammu & Kashmir,146,107,0,253,48,23,0,71,2,2,0,4,0,1,0,1,196,133,0,329
11,State,Jharkhand,653,317,0,970,203,94,0,297,15,8,0,23,2,0,0,2,873,419,0,1292
12,State,Karnataka,5405,2362,0,7767,2107,653,0,2760,121,34,0,155,4,1,0,5,7637,3050,0,10687
13,State,Kerala,4246,1384,0,5630,1593,360,0,1953,95,25,0,120,1,1,0,2,5935,1770,0,7705
14,State,Madhya Pradesh,4114,3011,0,7125,2030,1102,0,3132,113,61,0,174,10,1,0,11,6267,4175,0,10442
15,State,Maharashtra,8841,3173,3,12017,3691,1071,0,4762,343,71,0,414,2,0,0,2,12877,4315,3,17195
16,State,Manipur,10,10,0,20,11,6,0,17,0,0,0,0,0,0,0,0,21,16,0,37
17,State,Meghalaya,93,38,0,131,25,4,0,29,6,0,0,6,0,0,0,0,124,42,0,166
18,State,Mizoram,89,22,0,111,11,2,0,13,0,0,0,0,0,0,0,0,100,24,0,124
19,State,Nagaland,19,13,0,32,2,0,0,2,0,0,0,0,0,0,0,0,21,13,0,34
20,State,Odisha,1663,1075,0,2738,661,430,0,1091,37,25,0,62,9,4,0,13,2370,1534,0,3904
21,State,Punjab,585,186,0,771,515,104,0,619,45,3,0,48,2,0,0,2,1147,293,0,1440
22,State,Rajasthan,1451,784,1,2236,1036,281,0,1317,87,22,0,109,13,3,0,16,2587,1090,1,3678
23,State,Sikkim,177,75,0,252,4,3,0,7,3,1,0,4,0,0,0,0,184,79,0,263
24,State,Tamil Nadu,7487,3940,5,11432,2393,848,0,3241,282,149,0,431,69,9,0,78,10231,4946,5,15182
25,State,Telangana,4016,2068,2,6086,1203,495,0,1698,292,85,0,377,805,53,0,858,6316,2701,2,9019
26,State,Tripura,285,185,0,470,169,38,0,207,0,0,0,0,0,0,0,0,454,223,0,677
27,State,Uttar Pradesh,1244,1047,0,2291,699,401,0,1100,86,37,0,123,2,2,0,4,2031,1487,0,3518
28,State,Uttarakhand,22,27,0,49,77,26,0,103,0,0,0,0,0,0,0,0,99,53,0,152
29,State,West Bengal,5776,4630,0,10406,1750,970,0,2720,253,57,0,310,15,0,0,15,7794,5657,0,13451
State,State,Total (States),59659,31257,13,90929,23314,8756,1,32071,2856,981,0,3837,992,100,0,1092,86821,41094,14,127929
30,Union Territory,A & N Islands,42,38,0,80,59,3,0,62,3,0,0,3,0,1,0,1,104,42,0,146
31,Union Territory,Chandigarh,70,29,0,99,16,3,0,19,5,0,0,5,0,0,0,0,91,32,0,123
32,Union Territory,D & N Haveli,17,12,0,29,18,8,0,26,0,0,0,0,0,0,0,0,35,20,0,55
33,Union Territory,Daman & Diu,10,19,0,29,7,0,0,7,0,0,0,0,0,0,0,0,17,19,0,36
34,Union Territory,Delhi (UT),763,393,0,1156,670,246,0,916,36,32,0,68,12,3,0,15,1481,674,0,2155
35,Union Territory,Lakshadweep,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
36,Union Territory,Puducherry,321,86,0,407,125,28,0,153,1,0,0,1,0,0,0,0,447,114,0,561
Union Territory,Union Territory,Total (UTs),1224,579,0,1803,895,288,0,1183,45,32,0,77,12,4,0,16,2176,903,0,3079
Total (All India),Total (All India),Total (All India),60883,31836,13,92732,24209,9044,1,33254,2901,1013,0,3914,1004,104,0,1108,88997,41997,14,131008
