Sl. No.,Category,State/UT,No Education - Male,No Education - Female,No Education - Transgender,No Education - Total,Primary (up to class-5th) - Male,Primary (up to class-5th) - Female,Primary (up to class-5th) - Transgender,Primary (up to class-5th) - Total,Middle (up to class-8th) - Male,Middle (up to class-8th) - Female,Middle (up to class-8th) - Transgender,Middle (up to class-8th) - Total,Matriculate/Secondary (up to class-10th) - Male,Matriculate/Secondary (up to class-10th) - Female,Matriculate/Secondary (up to class-10th) - Transgender,Matriculate/Secondary (up to class-10th) - Total,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Male,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Female,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Transgender,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Total,Diploma/Certificate/ITI - Male,Diploma/Certificate/ITI - Female,Diploma/Certificate/ITI - Transgender,Diploma/Certificate/ITI - Total,Graduate and above - Male,Graduate and above - Female,Graduate and above - Transgender,Graduate and above - Total,Professionals (MBA etc.) - Male,Professionals (MBA etc.) - Female,Professionals (MBA etc.) - Transgender,Professionals (MBA etc.) - Total,Status Not known - Male,Status Not known - Female,Status Not known - Transgender,Status Not known - Total,Total - Male,Total - Female,Total - Transgender,Total
1,State,Andhra Pradesh,694,408,0,1102,638,306,0,944,566,269,0,835,731,368,0,1099,463,179,0,642,68,19,0,87,121,46,0,167,16,5,0,21,798,364,0,1162,4095,1964,0,6059
2,State,Arunachal Pradesh,7,9,0,16,12,1,0,13,15,8,0,23,20,11,0,31,15,7,0,22,1,1,0,2,0,0,0,0,0,0,0,0,8,6,0,14,78,43,0,121
3,State,Assam,309,122,0,431,338,201,0,539,446,206,0,652,504,255,0,759,235,91,0,326,0,0,0,0,31,14,0,45,0,0,0,0,163,108,0,271,2026,997,0,3023
4,State,Bihar,20,27,0,47,18,17,0,35,24,35,0,59,63,64,0,127,65,56,0,121,3,0,0,3,9,9,0,18,1,0,0,1,0,0,0,0,203,208,0,411
5,State,Chhattisgarh,644,370,0,1014,962,426,0,1388,1117,479,0,1596,892,435,0,1327,608,235,0,843,18,6,0,24,88,19,0,107,6,4,0,10,247,149,0,396,4582,2123,0,6705
6,State,Goa,16,6,0,22,20,11,0,31,42,14,0,56,63,25,0,88,35,10,0,45,2,1,0,3,11,3,0,14,2,0,0,2,12,0,0,12,203,70,0,273
7,State,Gujarat,667,397,0,1064,1009,656,1,1666,1157,674,0,1831,1171,518,2,1691,647,290,0,937,71,16,0,87,157,71,0,228,8,4,0,12,162,57,0,219,5049,2683,3,7735
8,State,Haryana,384,149,0,533,364,96,0,460,484,109,0,593,719,144,0,863,452,110,0,562,43,12,0,55,43,11,0,54,5,0,0,5,412,128,0,540,2906,759,0,3665
9,State,Himachal Pradesh,36,15,0,51,30,14,0,44,51,37,0,88,168,98,0,266,65,33,0,98,10,3,0,13,19,13,0,32,5,0,0,5,31,14,0,45,415,227,0,642
10,State,Jammu & Kashmir,29,38,0,67,28,18,0,46,47,22,0,69,49,32,0,81,19,4,0,23,0,0,0,0,0,1,0,1,0,0,0,0,24,18,0,42,196,133,0,329
11,State,Jharkhand,76,53,0,129,114,53,0,167,93,37,0,130,225,103,0,328,191,88,0,279,12,10,0,22,27,5,0,32,3,0,0,3,132,70,0,202,873,419,0,1292
12,State,Karnataka,1174,601,0,1775,1642,589,0,2231,1713,564,0,2277,1515,664,0,2179,769,333,0,1102,74,15,0,89,262,93,0,355,20,10,0,30,468,181,0,649,7637,3050,0,10687
13,State,Kerala,201,83,0,284,888,265,0,1153,1259,322,0,1581,2188,579,0,2767,1000,376,0,1376,102,30,0,132,200,94,0,294,17,3,0,20,80,18,0,98,5935,1770,0,7705
14,State,Madhya Pradesh,1107,862,0,1969,1418,985,0,2403,1406,850,0,2256,1120,726,0,1846,732,453,0,1185,68,40,0,108,142,66,0,208,5,1,0,6,269,192,0,461,6267,4175,0,10442
15,State,Maharashtra,1043,484,2,1529,2147,663,0,2810,2921,939,0,3860,3778,1269,0,5047,2252,740,1,2993,159,41,0,200,390,121,0,511,23,4,0,27,164,54,0,218,12877,4315,3,17195
16,State,Manipur,0,2,0,2,0,2,0,2,7,3,0,10,10,8,0,18,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,21,16,0,37
17,State,Meghalaya,18,4,0,22,38,8,0,46,39,18,0,57,16,7,0,23,10,3,0,13,1,0,0,1,1,1,0,2,1,1,0,2,0,0,0,0,124,42,0,166
18,State,Mizoram,3,1,0,4,18,3,0,21,39,8,0,47,24,8,0,32,15,4,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,24,0,124
19,State,Nagaland,0,1,0,1,0,0,0,0,5,3,0,8,11,8,0,19,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,13,0,34
20,State,Odisha,247,178,0,425,371,195,0,566,348,221,0,569,457,288,0,745,254,131,0,385,26,22,0,48,74,39,0,113,4,6,0,10,589,454,0,1043,2370,1534,0,3904
21,State,Punjab,255,53,0,308,137,39,0,176,170,38,0,208,272,57,0,329,155,67,0,222,22,3,0,25,49,27,0,76,1,1,0,2,86,8,0,94,1147,293,0,1440
22,State,Rajasthan,330,232,0,562,503,265,1,769,564,230,0,794,562,198,0,760,374,78,0,452,31,6,0,37,120,38,0,158,5,1,0,6,98,42,0,140,2587,1090,1,3678
23,State,Sikkim,29,17,0,46,55,16,0,71,52,24,0,76,32,16,0,48,13,4,0,17,1,0,0,1,2,1,0,3,0,0,0,0,0,1,0,1,184,79,0,263
24,State,Tamil Nadu,1191,686,1,1878,2556,917,1,3474,2101,1001,1,3103,2337,1146,2,3485,1155,735,0,1890,270,92,0,362,455,315,0,770,61,25,0,86,105,29,0,134,10231,4946,5,15182
25,State,Telangana,1653,1065,1,2719,1112,473,0,1585,1105,381,0,1486,1108,399,0,1507,538,202,0,740,54,10,0,64,157,45,0,202,38,3,0,41,551,123,1,675,6316,2701,2,9019
26,State,Tripura,22,11,0,33,111,48,0,159,159,66,0,225,98,63,0,161,57,32,0,89,0,0,0,0,6,3,0,9,0,0,0,0,1,0,0,1,454,223,0,677
27,State,Uttar Pradesh,339,343,0,682,346,248,0,594,330,268,0,598,351,308,0,659,355,216,0,571,12,6,0,18,133,22,0,155,1,0,0,1,164,76,0,240,2031,1487,0,3518
28,State,Uttarakhand,0,0,0,0,9,3,0,12,20,15,0,35,53,20,0,73,16,8,0,24,1,0,0,1,0,2,0,2,0,0,0,0,0,5,0,5,99,53,0,152
29,State,West Bengal,460,492,0,952,1180,1074,0,2254,1600,1113,0,2713,1469,1128,0,2597,820,413,0,1233,21,3,0,24,225,85,0,310,1,0,0,1,2018,1349,0,3367,7794,5657,0,13451
State,State,Total (States),10954,6709,4,17667,16064,7592,3,23659,17880,7954,1,25835,20006,8945,4,28955,11316,4900,1,16217,1071,336,0,1407,2722,1144,0,3866,223,68,0,291,6585,3446,1,10032,86821,41094,14,127929
30,Union Territory,A & N Islands,0,0,0,0,9,6,0,15,22,8,0,30,42,11,0,53,16,13,0,29,1,2,0,3,3,1,0,4,0,0,0,0,11,1,0,12,104,42,0,146
31,Union Territory,Chandigarh,4,0,0,4,9,2,0,11,9,1,0,10,27,12,0,39,22,13,0,35,0,0,0,0,15,4,0,19,2,0,0,2,3,0,0,3,91,32,0,123
32,Union Territory,D & N Haveli,3,4,0,7,6,9,0,15,9,0,0,9,13,6,0,19,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,0,55
33,Union Territory,Daman & Diu,1,0,0,1,0,0,0,0,1,6,0,7,5,3,0,8,1,6,0,7,0,0,0,0,2,0,0,2,0,0,0,0,7,4,0,11,17,19,0,36
34,Union Territory,Delhi (UT),178,79,0,257,117,68,0,185,196,109,0,305,284,148,0,432,258,120,0,378,18,15,0,33,82,28,0,110,0,0,0,0,348,107,0,455,1481,674,0,2155
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
36,Union Territory,Puducherry,66,25,0,91,94,31,0,125,71,21,0,92,58,15,0,73,60,7,0,67,16,3,0,19,25,1,0,26,0,0,0,0,57,11,0,68,447,114,0,561
