Sl. No.,Category,State/UT,No Education - Male,No Education - Female,No Education - Transgender,No Education - Total,Primary (up to class–5th) - Male,Primary (up to class–5th) - Female,Primary (up to class–5th) - Transgender,Primary (up to class–5th) - Total,Middle (up to class–8th) - Male,Middle (up to class–8th) - Female,Middle (up to class–8th) - Transgender,Middle (up to class–8th) - Total,Matriculate/Secondary (up to class–10th) - Male,Matriculate/Secondary (up to class–10th) - Female,Matriculate/Secondary (up to class–10th) - Transgender,Matriculate/Secondary (up to class–10th) - Total,Hr. Secondary/ Intermediate/Pre-University (up to class–12th) - Male,Hr. Secondary/ Intermediate/Pre-University (up to class–12th) - Female,Hr. Secondary/ Intermediate/Pre-University (up to class–12th) - Transgender,Hr. Secondary/ Intermediate/Pre-University (up to class–12th) - Total,Diploma/ Certificate/ ITI - Male,Diploma/ Certificate/ ITI - Female,Diploma/ Certificate/ ITI - Transgender,Diploma/ Certificate/ ITI - Total,Graduate and above - Male,Graduate and above - Female,Graduate and above - Transgender,Graduate and above - Total,Professionals (MBA etc.) - Male,Professionals (MBA etc.) - Female,Professionals (MBA etc.) - Transgender,Professionals (MBA etc.) - Total,Status Not known - Male,Status Not known - Female,Status Not known - Transgender,Status Not known - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,809,344,1,1154,726,421,2,1149,705,257,0,962,617,227,1,845,364,121,0,485,32,11,0,43,136,56,0,192,9,2,0,11,440,73,0,513,3838,1512,4,5354
2,State,Arunachal Pradesh,8,6,0,14,11,2,0,13,2,7,0,9,13,9,0,22,10,3,0,13,0,0,0,0,2,0,0,2,0,0,0,0,13,3,0,16,59,30,0,89
3,State,Assam,331,126,0,457,156,82,0,238,221,87,0,308,307,106,0,413,146,67,0,213,9,7,0,16,59,14,0,73,0,0,0,0,358,200,0,558,1587,689,0,2276
4,State,Bihar,37,37,0,74,11,22,0,33,25,24,0,49,54,31,0,85,42,50,0,92,1,0,0,1,12,12,0,24,9,11,0,20,5,5,0,10,196,192,0,388
5,State,Chhattisgarh,433,285,0,718,1008,430,0,1438,1135,425,0,1560,790,354,0,1144,590,231,0,821,17,3,0,20,90,32,0,122,0,0,0,0,354,135,0,489,4417,1895,0,6312
6,State,Goa,11,9,0,20,15,14,0,29,36,15,0,51,66,23,0,89,42,14,0,56,0,0,0,0,11,7,0,18,0,0,0,0,10,0,0,10,191,82,0,273
7,State,Gujarat,427,351,0,778,946,546,0,1492,1098,648,1,1747,1151,585,0,1736,826,360,0,1186,106,31,0,137,159,52,0,211,11,2,0,13,113,5,0,118,4837,2580,1,7418
8,State,Haryana,510,168,0,678,319,93,0,412,563,101,0,664,640,157,0,797,352,140,0,492,71,16,0,87,112,17,0,129,32,8,0,40,63,25,0,88,2662,725,0,3387
9,State,Himachal Pradesh,23,13,0,36,35,20,0,55,46,34,0,80,125,77,0,202,74,64,0,138,7,9,0,16,14,5,0,19,6,4,0,10,6,14,0,20,336,240,0,576
10,State,Jammu & Kashmir,24,38,0,62,14,12,0,26,37,25,0,62,42,31,0,73,15,25,0,40,0,1,0,1,1,1,0,2,0,0,0,0,16,5,0,21,149,138,0,287
