Sl. No.,Category,State/UT,No Education - Male,No Education - Female,No Education - Transgender,No Education - Total,Primary (up to class–5th) - Male,Primary (up to class–5th) - Female,Primary (up to class–5th) - Transgender,Primary (up to class–5th) - Total,Middle (up to class–8th) - Male,Middle (up to class–8th) - Female,Middle (up to class–8th) - Transgender,Middle (up to class–8th) - Total,Matriculate/Secondary (up to class–10th) - Male,Matriculate/Secondary (up to class–10th) - Female,Matriculate/Secondary (up to class–10th) - Transgender,Matriculate/Secondary (up to class–10th) - Total,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Male,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Female,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Transgender,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Total,Diploma/Certificate/ITI - Male,Diploma/Certificate/ITI - Female,Diploma/Certificate/ITI - Transgender,Diploma/Certificate/ITI - Total,Graduate and above - Male,Graduate and above - Female,Graduate and above - Transgender,Graduate and above - Total,Professionals (MBA etc.) - Male,Professionals (MBA etc.) - Female,Professionals (MBA etc.) - Transgender,Professionals (MBA etc.) - Total,Status Not known - Male,Status Not known - Female,Status Not known - Transgender,Status Not known - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,828,452,1,1281,780,372,0,1152,635,234,1,870,649,246,0,895,286,120,0,406,25,3,0,28,170,60,0,230,10,7,0,17,368,72,0,440,3751,1566,2,5319
2,State,Arunachal Pradesh,14,3,0,17,12,5,0,17,20,6,0,26,15,12,0,27,24,4,0,28,1,0,0,1,2,0,0,2,0,0,0,0,8,6,0,14,96,36,0,132
3,State,Assam,332,105,0,437,256,114,0,370,287,149,0,436,290,140,0,430,115,47,0,162,8,10,0,18,33,5,0,38,0,0,0,0,355,133,0,488,1676,703,0,2379
4,State,Bihar,18,27,0,45,16,16,0,32,24,30,0,54,74,60,0,134,79,43,0,122,2,0,0,2,26,4,0,30,19,3,0,22,0,2,0,2,258,185,0,443
5,State,Chhattisgarh,598,341,0,939,1164,436,0,1600,1216,461,0,1677,943,419,0,1362,605,210,0,815,21,5,0,26,115,36,0,151,0,1,0,1,317,158,0,475,4979,2067,0,7046
6,State,Goa,15,8,0,23,20,7,0,27,34,12,0,46,67,16,0,83,36,13,0,49,0,0,0,0,5,3,0,8,1,0,0,1,17,2,0,19,195,61,0,256
7,State,Gujarat,505,319,0,824,1043,604,0,1647,1124,568,0,1692,1323,584,0,1907,835,395,0,1230,55,8,0,63,142,51,0,193,6,2,0,8,177,52,0,229,5210,2583,0,7793
8,State,Haryana,352,126,0,478,375,126,0,501,626,126,0,752,644,162,0,806,434,114,0,548,87,20,0,107,72,19,0,91,20,5,0,25,172,67,0,239,2782,765,0,3547
9,State,Himachal Pradesh,29,15,0,44,72,33,0,105,117,55,0,172,149,71,0,220,77,53,0,130,5,2,0,7,19,11,0,30,8,3,0,11,17,4,0,21,493,247,0,740
10,State,Jammu & Kashmir,47,69,0,116,11,21,0,32,24,20,0,44,31,49,0,80,25,11,0,36,0,0,0,0,4,1,0,5,0,0,0,0,13,4,0,17,155,175,0,330
11,State,Jharkhand,31,19,0,50,86,30,0,116,119,40,0,159,379,202,0,581,259,108,0,367,16,4,0,20,13,3,0,16,0,0,0,0,6,2,0,8,909,408,0,1317
12,State,Karnataka,1054,503,0,1557,1799,689,1,2489,1917,652,1,2570,2017,700,0,2717,1035,398,1,1434,88,16,0,104,311,143,0,454,30,10,0,40,164,32,0,196,8415,3143,3,11561
13,State,Kerala,88,26,0,114,838,249,0,1087,1378,344,0,1722,2577,718,0,3295,1123,354,0,1477,107,28,0,135,158,110,0,268,26,29,0,55,69,15,0,84,6364,1873,0,8237
14,State,Madhya Pradesh,1332,760,1,2093,1570,964,0,2534,1657,960,0,2617,1636,884,0,2520,893,618,0,1511,25,8,0,33,213,114,0,327,1,0,0,1,99,40,0,139,7426,4348,1,11775
15,State,Maharashtra,1063,478,0,1541,1983,707,1,2691,2890,917,0,3807,4145,1323,0,5468,2525,823,0,3348,130,43,0,173,475,99,0,574,13,5,0,18,273,79,0,352,13497,4474,1,17972
16,State,Manipur,0,1,0,1,0,0,0,0,7,4,0,11,20,12,0,32,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,35,17,0,52
17,State,Meghalaya,24,4,0,28,21,5,0,26,23,11,0,34,28,6,0,34,19,5,0,24,2,1,0,3,5,1,0,6,0,0,0,0,29,5,0,34,151,38,0,189
18,State,Mizoram,0,0,0,0,12,3,0,15,31,4,0,35,20,3,0,23,1,1,0,2,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,67,12,0,79
19,State,Nagaland,4,1,0,5,8,0,0,8,4,4,0,8,5,1,0,6,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,2,30,6,0,36
20,State,Odisha,39,48,0,87,127,63,0,190,119,56,0,175,189,165,0,354,1534,1792,0,3326,2,0,0,2,25,3,0,28,0,0,0,0,272,158,0,430,2307,2285,0,4592
21,State,Punjab,282,81,1,364,156,43,0,199,227,42,0,269,317,89,0,406,214,66,0,280,19,6,0,25,51,21,0,72,12,6,0,18,77,4,0,81,1355,358,1,1714
22,State,Rajasthan,418,271,0,689,621,291,0,912,614,241,0,855,652,221,1,874,330,99,0,429,48,16,0,64,128,34,0,162,10,6,0,16,267,65,0,332,3088,1244,1,4333
23,State,Sikkim,16,6,0,22,37,17,0,54,43,9,0,52,13,8,0,21,10,3,0,13,0,0,0,0,3,1,0,4,1,0,0,1,20,12,0,32,143,56,0,199
24,State,Tamil Nadu,1222,661,0,1883,1415,715,0,2130,2116,916,2,3034,2176,1023,0,3199,1330,892,0,2222,273,81,0,354,520,347,0,867,89,48,0,137,38,32,0,70,9179,4715,2,13896
25,State,Telangana,1747,897,0,2644,866,368,0,1234,774,276,0,1050,923,353,0,1276,674,220,0,894,90,31,0,121,206,58,0,264,16,8,0,24,316,22,0,338,5612,2233,0,7845
26,State,Tripura,10,4,0,14,171,101,0,272,179,65,0,244,90,47,0,137,25,8,0,33,10,1,0,11,5,1,0,6,2,0,0,2,1,0,0,1,493,227,0,720
27,State,Uttar Pradesh,444,306,0,750,373,265,0,638,481,334,0,815,508,416,0,924,505,359,0,864,36,12,0,48,168,75,0,243,3,9,0,12,373,182,0,555,2891,1958,0,4849
28,State,Uttarakhand,7,9,0,16,19,12,0,31,65,26,0,91,100,63,0,163,37,31,0,68,2,1,0,3,3,4,0,7,0,0,0,0,16,26,0,42,249,172,0,421
29,State,West Bengal,425,350,0,775,1595,1026,0,2621,1494,985,0,2479,1494,1062,0,2556,777,540,0,1317,29,24,0,53,154,80,0,234,12,7,0,19,1850,1351,0,3201,7830,5425,0,13255
State,State,Total (States),10944,5890,3,16837,15446,7282,2,22730,18245,7547,4,25796,21474,9055,1,30530,13817,7327,1,21145,1084,320,0,1404,3029,1285,0,4314,279,149,0,428,5318,2525,0,7843,89636,41380,11,131027
30,Union Territory,A & N Islands,10,10,0,20,32,13,0,45,24,7,0,31,20,8,0,28,15,9,0,24,1,0,0,1,4,4,0,8,0,0,0,0,4,3,0,7,110,54,0,164
31,Union Territory,Chandigarh,3,0,0,3,11,2,0,13,24,14,0,38,44,12,0,56,23,11,0,34,0,0,0,0,15,1,0,16,0,0,0,0,0,0,0,0,120,40,0,160
32,Union Territory,D & N Haveli,9,13,0,22,10,11,0,21,3,1,0,4,17,10,0,27,21,1,0,22,2,0,0,2,1,2,0,3,0,0,0,0,0,0,0,0,63,38,0,101
33,Union Territory,Daman & Diu,0,0,0,0,3,1,0,4,11,2,0,13,6,2,0,8,7,1,0,8,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,29,6,0,35
34,Union Territory,Delhi (UT),76,46,0,122,126,66,0,192,249,107,0,356,789,276,0,1065,331,190,0,521,29,4,0,33,79,15,0,94,1,1,0,2,99,42,0,141,1779,747,0,2526
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3
36,Union Territory,Puducherry,18,4,0,22,38,5,0,43,12,2,0,14,40,3,0,43,220,102,0,322,35,2,0,37,0,0,0,0,0,0,0,0,11,8,0,19,374,126,0,500
Union Territory,Union Territory,Total (UTs),116,73,0,189,220,98,0,318,323,133,0,456,916,311,0,1227,617,314,0,931,67,6,0,73,101,22,0,123,1,1,0,2,117,53,0,170,2478,1011,0,3489
Total (All India),Total (All India),Total (All India),11060,5963,3,17026,15666,7380,2,23048,18568,7680,4,26252,22390,9366,1,31757,14434,7641,1,22076,1151,326,0,1477,3130,1307,0,4437,280,150,0,430,5435,2578,0,8013,92114,42391,11,134516
