Category,State/UT,No Education_male,No Education_Female,No Education_Trans,No Education_Total,Primary (up to class–5th)_male,Primary (up to class–5th)_Female,Primary (up to class–5th)_Trans,Primary (up to class–5th)_Total,Middle (up to class–8th)_male,Middle (up to class–8th)_Female,Middle (up to class–8th)_Trans,Middle (up to class–8th)_Total,Matriculate/ Secondary (up to class–10th)_male,Matriculate/ Secondary (up to class–10th)_Female,Matriculate/ Secondary (up to class–10th)_Trans,Matriculate/ Secondary (up to class–10th)_Total,Hr. Secondary/ Intermediate/ Pre-University (up to class–12th)_male,Hr. Secondary/ Intermediate/ Pre-University (up to class–12th)_Female,Hr. Secondary/ Intermediate/ Pre-University (up to class–12th)_Trans,Hr. Secondary/ Intermediate/ Pre-University (up to class–12th)_Total,Diploma/Certificate/ ITI_male,Diploma/Certificate/ ITI_Female,Diploma/Certificate/ ITI_Trans,Diploma/Certificate/ ITI_Total,Graduate and above_male,Graduate and above_Female,Graduate and above_Trans,Graduate and above_Total,Professionals (MBA etc.)_male,Professionals (MBA etc.)_Female,Professionals (MBA etc.)_Trans,Professionals (MBA etc.)_Total,Status Not known_male,Status Not known_Female,Status Not known_Trans,Status Not known_Total,Total_male,Total_Female,Total_Trans,Total_Total
State,ANDHRA PRADESH,1199,501,0,1700,916,321,0,1237,748,257,0,1005,838,313,0,1151,451,206,0,657,80,9,0,89,293,98,0,391,17,8,0,25,198,12,0,210,4740,1725,0,6465
State,ARUNACHAL PRADESH,3,0,0,3,7,2,0,9,21,5,0,26,17,11,0,28,19,6,0,25,0,0,0,0,2,1,0,3,0,0,0,0,12,6,0,18,81,31,0,112
State,ASSAM,338,161,0,499,407,194,0,601,313,163,0,476,423,123,0,546,142,39,0,181,1,0,0,1,41,7,0,48,2,1,0,3,12,3,0,15,1679,691,0,2370
State,BIHAR,49,45,0,94,27,29,0,56,65,43,0,108,150,76,0,226,72,42,0,114,0,0,0,0,22,9,0,31,10,0,0,10,0,2,0,2,395,246,0,641
State,CHHATTISGARH,538,300,0,838,1005,382,0,1387,1135,404,0,1539,873,303,0,1176,526,169,0,695,33,8,0,41,110,33,0,143,3,0,0,3,1297,510,0,1807,5520,2109,0,7629
State,GOA,14,9,0,23,14,8,0,22,44,11,0,55,63,19,0,82,36,10,0,46,0,0,0,0,22,0,0,22,1,0,0,1,7,1,0,8,201,58,0,259
State,GUJARAT,519,351,0,870,865,523,1,1389,1203,611,0,1814,1286,556,0,1842,852,340,0,1192,48,10,0,58,188,49,0,237,6,1,0,7,201,45,0,246,5168,2486,1,7655
State,HARYANA,453,161,0,614,454,125,0,579,515,161,0,676,774,179,0,953,541,105,0,646,77,20,0,97,105,23,0,128,8,0,0,8,370,120,0,490,3297,894,0,4191
State,HIMACHAL PRADESH,33,15,0,48,42,26,0,68,70,33,0,103,128,63,0,191,80,47,0,127,9,4,0,13,11,17,0,28,4,2,0,6,0,0,0,0,377,207,0,584
State,JAMMU & KASHMIR,33,35,0,68,14,14,0,28,27,18,0,45,49,44,0,93,18,11,0,29,0,0,0,0,0,1,0,1,0,0,0,0,16,4,0,20,157,127,0,284
