State/UT,No Education - Male,No Education - Female,No Education - Transgender,No Education - Total,Primary (up to class-5th) - Male,Primary (up to class-5th) - Female,Primary (up to class-5th) - Transgender,Primary (up to class-5th) - Total,Middle (up to class-8th) - Male,Middle (up to class-8th) - Female,Middle (up to class-8th) - Transgender,Middle (up to class-8th) - Total,Matriculate/Secondary (up to class-10th) - Male,Matriculate/Secondary (up to class-10th) - Female,Matriculate/Secondary (up to class-10th) - Transgender,Matriculate/Secondary (up to class-10th) - Total,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Male,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Female,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Transgender,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Total,Diploma/Certificate/ITI - Male,Diploma/Certificate/ITI - Female,Diploma/Certificate/ITI - Transgender,Diploma/Certificate/ITI - Total,Graduate and above - Male,Graduate and above - Female,Graduate and above - Transgender,Graduate and above - Total,Professionals (MBA etc.) - Male,Professionals (MBA etc.) - Female,Professionals (MBA etc.) - Transgender,Professionals (MBA etc.) - Total,Status Not known - Male,Status Not known - Female,Status Not known - Transgender,Status Not known - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
ANDHRA PRADESH,1174,498,1,1673,963,385,0,1348,1058,353,0,1411,873,284,0,1157,554,182,1,737,85,21,0,106,287,128,0,415,15,7,0,22,148,26,0,174,5157,1884,2,7043
ARUNACHAL PRADESH,8,1,0,9,5,4,0,9,8,10,0,18,25,12,0,37,10,4,0,14,0,0,0,0,3,0,0,3,0,0,0,0,53,17,0,70,112,48,0,160
ASSAM,504,169,0,673,355,150,0,505,518,230,0,748,642,250,0,892,225,79,0,304,3,0,0,3,62,18,0,80,3,4,0,7,25,6,0,31,2337,906,0,3243
BIHAR,57,39,0,96,35,42,0,77,73,82,0,155,130,107,0,237,94,58,0,152,11,8,0,19,38,10,0,48,6,8,0,14,7,4,0,11,451,358,0,809
CHHATTISGARH,746,419,0,1165,1275,534,0,1809,1379,505,0,1884,988,374,0,1362,631,213,0,844,28,6,0,34,106,47,0,153,6,4,0,10,309,140,0,449,5468,2242,0,7710
GOA,23,8,0,31,14,11,0,25,30,11,0,41,79,25,0,104,56,11,0,67,4,0,0,4,17,5,0,22,0,0,0,0,11,3,0,14,234,74,0,308
GUJARAT,638,419,0,1057,923,458,2,1383,1098,552,0,1650,1299,530,0,1829,1147,448,0,1595,57,16,0,73,211,70,0,281,8,4,0,12,125,45,0,170,5506,2542,2,8050
HARYANA,485,164,0,649,496,119,0,615,398,120,0,518,671,223,0,894,449,118,0,567,77,17,0,94,102,20,0,122,2,0,0,2,404,136,0,540,3084,917,0,4001
HIMACHAL PRADESH,29,16,0,45,60,38,0,98,94,63,0,157,180,78,0,258,142,72,0,214,14,4,0,18,35,22,0,57,2,1,0,3,5,2,0,7,561,296,0,857
JHARKHAND,128,88,0,216,184,95,0,279,255,158,0,413,544,275,0,819,208,126,0,334,8,2,0,10,15,4,0,19,0,0,0,0,44,11,0,55,1386,759,0,2145
KARNATAKA,934,409,0,1343,1675,608,0,2283,2117,602,1,2720,2314,699,0,3013,1322,515,0,1837,157,25,0,182,437,173,0,610,37,9,0,46,198,27,0,225,9191,3067,1,12259
KERALA,167,59,0,226,836,285,0,1121,1283,383,0,1666,2547,603,0,3150,1216,387,0,1603,166,68,0,234,171,91,0,262,22,12,0,34,162,42,0,204,6570,1930,0,8500
MADHYA PRADESH,1593,1012,0,2605,2005,958,0,2963,2083,1126,0,3209,1944,943,0,2887,1420,625,0,2045,81,33,0,114,371,151,0,522,10,1,0,11,156,66,0,222,9663,4915,0,14578
MAHARASHTRA,1083,425,2,1510,2132,651,1,2784,3123,891,1,4015,4908,1432,0,6340,3067,804,0,3871,203,50,0,253,599,134,0,733,18,7,0,25,300,78,0,378,15433,4472,4,19909
MANIPUR,0,0,0,0,1,0,0,1,5,5,0,10,13,8,0,21,6,1,0,7,0,1,0,1,1,2,0,3,0,0,0,0,1,0,0,1,27,17,0,44
MEGHALAYA,35,9,0,44,31,5,0,36,41,28,0,69,32,12,0,44,7,7,0,14,0,0,0,0,6,0,0,6,0,0,0,0,11,0,0,11,163,61,0,224
MIZORAM,1,0,0,1,16,8,0,24,52,7,0,59,14,3,0,17,3,2,0,5,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,88,20,0,108
NAGALAND,1,0,0,1,5,4,0,9,15,6,0,21,7,2,0,9,6,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,12,0,48
ODISHA,18,17,0,35,63,41,0,104,142,58,0,200,510,190,0,700,1154,408,0,1562,13,12,0,25,47,16,0,63,2,2,0,4,1960,893,0,2853,3909,1637,0,5546
PUNJAB,362,117,1,480,236,74,0,310,328,85,0,413,583,175,0,758,315,124,0,439,34,8,0,42,79,32,0,111,6,4,0,10,49,4,0,53,1992,623,1,2616
RAJASTHAN,771,433,0,1204,794,322,1,1117,713,274,0,987,861,294,0,1155,508,179,0,687,48,19,0,67,234,83,0,317,20,7,0,27,78,19,0,97,4027,1630,1,5658
