Sl. No.,Category,State/UT,By Consuming Sleeping Pills - Male,By Consuming Sleeping Pills - Female,By Consuming Sleeping Pills - Transgender,By Consuming Sleeping Pills - Total,By Drowning - Male,By Drowning - Female,By Drowning - Transgender,By Drowning - Total,By Fire/Self Immolation - Male,By Fire/Self Immolation - Female,By Fire/Self Immolation - Transgender,By Fire/Self Immolation - Total,By Firearms - Male,By Firearms - Female,By Firearms - Transgender,By Firearms - Total,By Hanging - Male,By Hanging - Female,By Hanging - Transgender,By Hanging - Total,By Poison (Total) - Male,By Poison (Total) - Female,By Poison (Total) - Transgender,By Poison (Total) - Total,By Poison (By Consuming Insecticides) - Male,By Poison (By Consuming Insecticides) - Female,By Poison (By Consuming Insecticides) - Transgender,By Poison (By Consuming Insecticides) - Total,By Poison (By Consuming other Poison) - Male,By Poison (By Consuming other Poison) - Female,By Poison (By Consuming other Poison) - Transgender,By Poison (By Consuming other Poison) - Total,By Self Inflicting Injury - Male,By Self Inflicting Injury - Female,By Self Inflicting Injury - Transgender,By Self Inflicting Injury - Total,Jumping (Total) - Male,Jumping (Total) - Female,Jumping (Total) - Transgender,Jumping (Total) - Total,Jumping (from Building) - Male,Jumping (from Building) - Female,Jumping (from Building) - Transgender,Jumping (from Building) - Total,Jumping (from Other Sites) - Male,Jumping (from Other Sites) - Female,Jumping (from Other Sites) - Transgender,Jumping (from Other Sites) - Total,Jumping (by Jumping off Moving Trains/Vehicles) - Male,Jumping (by Jumping off Moving Trains/Vehicles) - Female,Jumping (by Jumping off Moving Trains/Vehicles) - Transgender,Jumping (by Jumping off Moving Trains/Vehicles) - Total,By Coming under Running Vehicles/Trains - Male,By Coming under Running Vehicles/Trains - Female,By Coming under Running Vehicles/Trains - Transgender,By Coming under Running Vehicles/Trains - Total,By Touching Electric Wire - Male,By Touching Electric Wire - Female,By Touching Electric Wire - Transgender,By Touching Electric Wire - Total,By Other Means - Male,By Other Means - Female,By Other Means - Transgender,By Other Means - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,41,20,0,61,125,79,0,204,75,54,0,129,3,2,0,5,2074,902,0,2976,2444,762,2,3208,1639,465,2,2106,805,297,0,1102,19,5,0,24,29,9,0,38,18,7,0,25,1,1,0,2,10,1,0,11,284,33,0,317,8,0,0,8,55,18,0,73,5157,1884,2,7043
2,State,Arunachal Pradesh,0,0,0,0,10,0,0,10,1,0,0,1,1,0,0,1,58,41,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,48,112,48,0,160
3,State,Assam,24,19,0,43,221,68,0,289,5,9,0,14,6,5,0,11,1670,633,0,2303,280,148,0,428,280,148,0,428,0,0,0,0,0,0,0,0,50,13,0,63,17,2,0,19,0,0,0,0,33,11,0,44,55,6,0,61,6,2,0,8,20,3,0,23,2337,906,0,3243
4,State,Bihar,31,21,0,52,25,30,0,55,4,19,0,23,3,0,0,3,298,216,0,514,74,54,0,128,61,41,0,102,13,13,0,26,8,12,0,20,4,4,0,8,0,0,0,0,1,0,0,1,3,4,0,7,2,1,0,3,2,1,0,3,0,0,0,0,451,358,0,809
5,State,Chhattisgarh,0,0,0,0,30,25,0,55,107,260,0,367,20,21,0,41,3845,1216,0,5061,1028,550,0,1578,551,286,0,837,477,264,0,741,1,1,0,2,71,12,0,83,5,1,0,6,17,5,0,22,49,6,0,55,47,20,0,67,36,8,0,44,283,129,0,412,5468,2242,0,7710
6,State,Goa,2,1,0,3,19,17,0,36,0,4,0,4,0,0,0,0,193,48,0,241,10,3,0,13,7,3,0,10,3,0,0,3,0,0,0,0,5,1,0,6,2,1,0,3,3,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,1,0,0,1,234,74,0,308
7,State,Gujarat,26,13,0,39,427,122,0,549,89,157,1,247,10,4,0,14,3128,1322,1,4451,1417,812,0,2229,1143,649,0,1792,274,163,0,437,40,10,0,50,116,36,0,152,77,31,0,108,9,3,0,12,30,2,0,32,218,40,0,258,3,0,0,3,32,26,0,58,5506,2542,2,8050
8,State,Haryana,1,0,0,1,198,45,0,243,16,11,0,27,7,1,0,8,1257,393,0,1650,467,239,0,706,175,82,0,257,292,157,0,449,7,0,0,7,144,21,0,165,21,7,0,28,4,0,0,4,119,14,0,133,98,28,0,126,87,5,0,92,802,174,0,976,3084,917,0,4001
9,State,Himachal Pradesh,1,1,0,2,4,5,0,9,1,6,0,7,4,1,0,5,306,131,0,437,238,145,0,383,232,142,0,374,6,3,0,9,1,0,0,1,1,7,0,8,1,0,0,1,0,6,0,6,0,1,0,1,1,0,0,1,4,0,0,4,0,0,0,0,561,296,0,857
10,State,Jammu & Kashmir,0,0,0,0,5,2,0,7,3,2,0,5,6,1,0,7,74,29,0,103,73,93,0,166,57,64,0,121,16,29,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,5,0,10,167,132,0,299
