Sr. No.,Category,State/UT,House wife - Male,House wife - Female,House wife - Transgender,House wife - Total,Professionals/Salaried Persons (Total) - Male,Professionals/Salaried Persons (Total) - Female,Professionals/Salaried Persons (Total) - Transgender,Professionals/Salaried Persons (Total) - Total,Professionals/Salaried Persons [Government Servants (Total)] - Male,Professionals/Salaried Persons [Government Servants (Total)] - Female,Professionals/Salaried Persons [Government Servants (Total)] - Transgender,Professionals/Salaried Persons [Government Servants (Total)] - Total,Professionals/Salaried Persons [Government Servants (Central/ UT Govt. Servants)] - Male,Professionals/Salaried Persons [Government Servants (Central/ UT Govt. Servants)] - Female,Professionals/Salaried Persons [Government Servants (Central/ UT Govt. Servants)] - Transgender,Professionals/Salaried Persons [Government Servants (Central/ UT Govt. Servants)] - Total,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Male,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Female,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Transgender,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Total,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Male,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Female,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Transgender,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Total,Professionals/Salaried Persons (Private Sector Enterprises) - Male,Professionals/Salaried Persons (Private Sector Enterprises) - Female,Professionals/Salaried Persons (Private Sector Enterprises) - Transgender,Professionals/Salaried Persons (Private Sector Enterprises) - Total,Professionals/Salaried Persons (Public Sector Undertaking) - Male,Professionals/Salaried Persons (Public Sector Undertaking) - Female,Professionals/Salaried Persons (Public Sector Undertaking) - Transgender,Professionals/Salaried Persons (Public Sector Undertaking) - Total,Students - Male,Students - Female,Students - Transgender,Students - Total,Unemployed Persons - Male,Unemployed Persons - Female,Unemployed Persons - Transgender,Unemployed Persons - Total,Self-employed Persons (Total) - Male,Self-employed Persons (Total) - Female,Self-employed Persons (Total) - Transgender,Self-employed Persons (Total) - Total,Self-employed Persons [Business (Total)] - Male,Self-employed Persons [Business (Total)] - Female,Self-employed Persons [Business (Total)] - Transgender,Self-employed Persons [Business (Total)] - Total,Self-employed Persons [Business (Vendor)] - Male,Self-employed Persons [Business (Vendor)] - Female,Self-employed Persons [Business (Vendor)] - Transgender,Self-employed Persons [Business (Vendor)] - Total,Self-employed Persons [Business (Tradesmen)] - Male,Self-employed Persons [Business (Tradesmen)] - Female,Self-employed Persons [Business (Tradesmen)] - Transgender,Self-employed Persons [Business (Tradesmen)] - Total,Self-employed Persons [Business (Other Business)] - Male,Self-employed Persons [Business (Other Business)] - Female,Self-employed Persons [Business (Other Business)] - Transgender,Self-employed Persons [Business (Other Business)] - Total,Other Self-employed Persons - Male,Other Self-employed Persons - Female,Other Self-employed Persons - Transgender,Other Self-employed Persons - Total,Persons Engaged in Farming Sector (Total) - Male,Persons Engaged in Farming Sector (Total) - Female,Persons Engaged in Farming Sector (Total) - Transgender,Persons Engaged in Farming Sector (Total) - Total,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Male,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Female,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Transgender,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Total,Farmers/Cultivators (Who Cultivate Their Own Land*) - Male,Farmers/Cultivators (Who Cultivate Their Own Land*) - Female,Farmers/Cultivators (Who Cultivate Their Own Land*) - Transgender,Farmers/Cultivators (Who Cultivate Their Own Land*) - Total,Farmers/Cultivators (Who Cultivate On Lease Land#) - Male,Farmers/Cultivators (Who Cultivate On Lease Land#) - Female,Farmers/Cultivators (Who Cultivate On Lease Land#) - Transgender,Farmers/Cultivators (Who Cultivate On Lease Land#) - Total,Persons engaged in Farming Sector (Agricultural Labourers) - Male,Persons engaged in Farming Sector (Agricultural Labourers) - Female,Persons engaged in Farming Sector (Agricultural Labourers) - Transgender,Persons engaged in Farming Sector (Agricultural Labourers) - Total,Daily Wage Earner - Male,Daily Wage Earner - Female,Daily Wage Earner - Transgender,Daily Wage Earner - Total,Retired Persons - Male,Retired Persons - Female,Retired Persons - Transgender,Retired Persons - Total,Other Persons - Male,Other Persons - Female,Other Persons - Transgender,Other Persons - Total,Total - Male,Total - Female,Total - Transgender,Total
1,State,Andhra Pradesh,0,963,0,963,238,24,0,262,65,7,0,72,12,1,0,13,28,4,0,32,25,2,0,27,158,12,0,170,15,5,0,20,143,152,0,295,183,35,0,218,450,63,0,513,184,8,0,192,31,1,0,32,30,0,0,30,123,7,0,130,266,55,0,321,730,74,0,804,219,20,0,239,109,15,0,124,110,5,0,115,511,54,0,565,1193,140,0,1333,27,3,0,30,1131,510,0,1641,4095,1964,0,6059
2,State,Arunachal Pradesh,0,10,0,10,26,2,0,28,23,0,0,23,5,0,0,5,17,0,0,17,1,0,0,1,3,2,0,5,0,0,0,0,11,18,0,29,19,4,0,23,7,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,5,3,3,0,6,3,3,0,6,3,3,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,6,0,15,78,43,0,121
3,State,Assam,0,402,0,402,123,34,0,157,9,0,0,9,4,0,0,4,4,0,0,4,1,0,0,1,76,10,0,86,38,24,0,62,206,147,0,353,487,89,0,576,361,37,0,398,296,35,0,331,148,29,0,177,64,6,0,70,84,0,0,84,65,2,0,67,64,6,0,70,6,0,0,6,6,0,0,6,0,0,0,0,58,6,0,64,380,67,0,447,9,2,0,11,396,213,0,609,2026,997,0,3023
4,State,Bihar,0,83,0,83,7,9,0,16,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,5,8,0,13,0,1,0,1,87,84,0,171,63,28,0,91,26,1,0,27,22,0,0,22,9,0,0,9,9,0,0,9,4,0,0,4,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,9,9,0,0,9,3,2,0,5,203,208,0,411
5,State,Chhattisgarh,0,1049,0,1049,219,32,0,251,70,8,0,78,14,0,0,14,49,6,0,55,7,2,0,9,104,17,0,121,45,7,0,52,351,282,0,633,441,34,0,475,254,10,0,264,146,4,0,150,46,0,0,46,27,0,0,27,73,4,0,77,108,6,0,114,658,24,0,682,572,13,0,585,405,11,0,416,167,2,0,169,86,11,0,97,976,143,0,1119,19,0,0,19,1664,549,0,2213,4582,2123,0,6705
6,State,Goa,0,44,0,44,29,2,0,31,7,0,0,7,0,0,0,0,5,0,0,5,2,0,0,2,21,1,0,22,1,1,0,2,15,14,0,29,56,6,0,62,38,0,0,38,15,0,0,15,1,0,0,1,6,0,0,6,8,0,0,8,23,0,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,2,0,29,7,0,0,7,30,2,0,32,203,70,0,273
7,State,Gujarat,0,1936,0,1936,614,27,0,641,54,5,0,59,11,0,0,11,21,2,0,23,22,3,0,25,505,15,0,520,55,7,0,62,301,255,0,556,385,17,0,402,795,32,1,828,450,28,0,478,98,19,0,117,281,5,0,286,71,4,0,75,345,4,1,350,335,73,0,408,30,0,0,30,21,0,0,21,9,0,0,9,305,73,0,378,1810,128,1,1939,191,38,0,229,618,177,1,796,5049,2683,3,7735
8,State,Haryana,0,303,0,303,590,95,0,685,95,9,0,104,11,0,0,11,34,4,0,38,50,5,0,55,114,30,0,144,381,56,0,437,117,37,0,154,337,46,0,383,233,2,0,235,124,0,0,124,18,0,0,18,16,0,0,16,90,0,0,90,109,2,0,111,247,3,0,250,0,0,0,0,0,0,0,0,0,0,0,0,247,3,0,250,154,3,0,157,7,0,0,7,1221,270,0,1491,2906,759,0,3665
9,State,Himachal Pradesh,0,150,0,150,85,9,0,94,25,3,0,28,3,0,0,3,19,3,0,22,3,0,0,3,40,5,0,45,20,1,0,21,27,27,0,54,72,2,0,74,26,1,0,27,22,0,0,22,3,0,0,3,10,0,0,10,9,0,0,9,4,1,0,5,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,14,0,0,14,7,0,0,7,170,38,0,208,415,227,0,642
10,State,Jammu & Kashmir,0,65,0,65,27,2,0,29,17,1,0,18,14,1,0,15,3,0,0,3,0,0,0,0,8,1,0,9,2,0,0,2,10,8,0,18,87,38,0,125,13,3,0,16,4,2,0,6,1,0,0,1,3,2,0,5,0,0,0,0,9,1,0,10,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,1,3,0,4,0,0,0,0,37,14,0,51,196,133,0,329
