Sl. No.,Category,State/UT,House wife - Male,House wife - Female,House wife - Transgender,House wife - Total,Professionals/Salaried Persons (Total) - Male,Professionals/Salaried Persons (Total) - Female,Professionals/Salaried Persons (Total) - Transgender,Professionals/Salaried Persons (Total) - Total,Professionals/Salaried Persons [Government Servants (Total)] - Male,Professionals/Salaried Persons [Government Servants (Total)] - Female,Professionals/Salaried Persons [Government Servants (Total)] - Transgender,Professionals/Salaried Persons [Government Servants (Total)] - Total,Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Male,Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Female,Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Transgender,Professionals/Salaried Persons [Government Servants (Central/UT Govt. Servants)] - Total,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Male,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Female,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Transgender,Professionals/Salaried Persons [Government Servants (State Govt. Servants)] - Total,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Male,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Female,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Transgender,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)] - Total,Professionals/Salaried Persons (Private Sector Enterprises) - Male,Professionals/Salaried Persons (Private Sector Enterprises) - Female,Professionals/Salaried Persons (Private Sector Enterprises) - Transgender,Professionals/Salaried Persons (Private Sector Enterprises) - Total,Professionals/Salaried Persons (Public Sector Undertaking) - Male,Professionals/Salaried Persons (Public Sector Undertaking) - Female,Professionals/Salaried Persons (Public Sector Undertaking) - Transgender,Professionals/Salaried Persons (Public Sector Undertaking) - Total,Students - Male,Students - Female,Students - Transgender,Students - Total,Unemployed Persons - Male,Unemployed Persons - Female,Unemployed Persons - Transgender,Unemployed Persons - Total,Self-employed Persons (Total) - Male,Self-employed Persons (Total) - Female,Self-employed Persons (Total) - Transgender,Self-employed Persons (Total) - Total,Self-employed Persons [Business (Total)] - Male,Self-employed Persons [Business (Total)] - Female,Self-employed Persons [Business (Total)] - Transgender,Self-employed Persons [Business (Total)] - Total,Self-employed Persons [Business (Vendor)] - Male,Self-employed Persons [Business (Vendor)] - Female,Self-employed Persons [Business (Vendor)] - Transgender,Self-employed Persons [Business (Vendor)] - Total,Self-employed Persons [Business (Tradesmen)] - Male,Self-employed Persons [Business (Tradesmen)] - Female,Self-employed Persons [Business (Tradesmen)] - Transgender,Self-employed Persons [Business (Tradesmen)] - Total,Self-employed Persons [Business (Other Business)] - Male,Self-employed Persons [Business (Other Business)] - Female,Self-employed Persons [Business (Other Business)] - Transgender,Self-employed Persons [Business (Other Business)] - Total,Other Self-employed Persons - Male,Other Self-employed Persons - Female,Other Self-employed Persons - Transgender,Other Self-employed Persons - Total,Persons Engaged in Farming Sector (Total) - Male,Persons Engaged in Farming Sector (Total) - Female,Persons Engaged in Farming Sector (Total) - Transgender,Persons Engaged in Farming Sector (Total) - Total,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Male,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Female,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Transgender,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)] - Total,Farmers/Cultivators (Who Cultivate Their Own Land*) - Male,Farmers/Cultivators (Who Cultivate Their Own Land*) - Female,Farmers/Cultivators (Who Cultivate Their Own Land*) - Transgender,Farmers/Cultivators (Who Cultivate Their Own Land*) - Total,Farmers/Cultivators (Who Cultivate On Lease Land#) - Male,Farmers/Cultivators (Who Cultivate On Lease Land#) - Female,Farmers/Cultivators (Who Cultivate On Lease Land#) - Transgender,Farmers/Cultivators (Who Cultivate On Lease Land#) - Total,Persons engaged in Farming Sector (Agricultural Labourers) - Male,Persons engaged in Farming Sector (Agricultural Labourers) - Female,Persons engaged in Farming Sector (Agricultural Labourers) - Transgender,Persons engaged in Farming Sector (Agricultural Labourers) - Total,Daily Wage Earner - Male,Daily Wage Earner - Female,Daily Wage Earner - Transgender,Daily Wage Earner - Total,Retired Persons - Male,Retired Persons - Female,Retired Persons - Transgender,Retired Persons - Total,Other Persons - Male,Other Persons - Female,Other Persons - Transgender,Other Persons - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,0,733,0,733,261,21,0,282,46,9,0,55,10,0,0,10,34,9,0,43,2,0,0,2,212,12,0,224,3,0,0,3,234,158,0,392,381,91,0,472,707,77,0,784,377,12,0,389,111,7,0,118,22,0,0,22,244,5,0,249,330,65,0,395,704,112,0,816,336,39,0,375,232,25,0,257,104,14,0,118,368,73,0,441,1171,225,1,1397,21,2,0,23,359,93,3,455,3838,1512,4,5354
2,State,Arunachal Pradesh,0,14,0,14,11,1,0,12,8,0,0,8,6,0,0,6,2,0,0,2,0,0,0,0,2,1,0,3,1,0,0,1,8,6,0,14,13,4,0,17,7,3,0,10,4,0,0,4,3,0,0,3,0,0,0,0,1,0,0,1,3,3,0,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,1,0,7,10,0,0,10,3,0,0,3,59,30,0,89
3,State,Assam,0,335,0,335,168,14,0,182,56,8,0,64,4,0,0,4,8,0,0,8,44,8,0,52,100,6,0,106,12,0,0,12,143,107,0,250,496,60,0,556,245,27,0,272,190,18,0,208,82,3,0,85,73,9,0,82,35,6,0,41,55,9,0,64,45,4,0,49,3,0,0,3,3,0,0,3,0,0,0,0,42,4,0,46,193,13,0,206,14,3,0,17,283,126,0,409,1587,689,0,2276
4,State,Bihar,0,74,0,74,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,4,0,0,4,65,72,0,137,74,30,0,104,15,5,0,20,5,2,0,7,3,2,0,5,1,0,0,1,1,0,0,1,10,3,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,13,0,0,0,0,15,11,0,26,196,192,0,388
5,State,Chhattisgarh,0,831,0,831,228,33,0,261,55,11,0,66,13,1,0,14,28,7,0,35,14,3,0,17,136,18,0,154,37,4,0,41,289,235,0,524,437,39,0,476,241,16,0,257,172,6,0,178,33,1,0,34,16,0,0,16,123,5,0,128,69,10,0,79,458,44,0,502,281,4,0,285,221,4,0,225,60,0,0,60,177,40,0,217,1101,191,0,1292,9,0,0,9,1654,506,0,2160,4417,1895,0,6312
6,State,Goa,0,51,0,51,43,6,0,49,3,4,0,7,2,0,0,2,0,4,0,4,1,0,0,1,37,1,0,38,3,1,0,4,12,11,0,23,38,5,0,43,30,2,0,32,12,2,0,14,4,0,0,4,4,1,0,5,4,1,0,5,18,0,0,18,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,32,5,0,37,6,0,0,6,28,2,0,30,191,82,0,273
7,State,Gujarat,0,1863,0,1863,842,27,0,869,63,6,0,69,11,0,0,11,21,5,0,26,31,1,0,32,708,21,0,729,71,0,0,71,358,280,0,638,338,31,0,369,835,37,0,872,444,14,0,458,42,2,0,44,267,12,0,279,135,0,0,135,391,23,0,414,123,10,0,133,4,0,0,4,4,0,0,4,0,0,0,0,119,10,0,129,1852,278,1,2131,211,17,0,228,278,37,0,315,4837,2580,1,7418
8,State,Haryana,0,292,0,292,364,72,0,436,123,25,0,148,19,2,0,21,56,13,0,69,48,10,0,58,158,29,0,187,83,18,0,101,132,44,0,176,292,55,0,347,402,2,0,404,206,0,0,206,93,0,0,93,38,0,0,38,75,0,0,75,196,2,0,198,103,6,0,109,0,0,0,0,0,0,0,0,0,0,0,0,103,6,0,109,396,79,0,475,10,0,0,10,963,175,0,1138,2662,725,0,3387
9,State,Himachal Pradesh,0,136,0,136,63,19,0,82,9,2,0,11,2,0,0,2,7,2,0,9,0,0,0,0,48,16,0,64,6,1,0,7,46,58,0,104,62,4,0,66,66,6,0,72,63,6,0,69,36,5,0,41,22,0,0,22,5,1,0,6,3,0,0,3,7,0,0,7,4,0,0,4,4,0,0,4,0,0,0,0,3,0,0,3,23,0,0,23,5,1,0,6,64,16,0,80,336,240,0,576
10,State,Jammu & Kashmir,0,49,0,49,32,3,0,35,13,1,0,14,9,0,0,9,4,1,0,5,0,0,0,0,14,2,0,16,5,0,0,5,18,20,0,38,41,56,0,97,19,3,0,22,12,1,0,13,6,0,0,6,5,0,0,5,1,1,0,2,7,2,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21,0,0,21,0,0,0,0,18,6,0,24,149,138,0,287
