Sl. No.,Category,State/UT,Un-Married - Male,Un-Married - Female,Un-Married - Transgender,Un-Married - Total,Married - Male,Married - Female,Married - Transgender,Married - Total,Widowed/Widower - Male,Widowed/Widower - Female,Widowed/Widower - Transgender,Widowed/Widower - Total,Divorcee - Male,Divorcee - Female,Divorcee - Transgender,Divorcee - Total,Separated - Male,Separated - Female,Separated - Transgender,Separated - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Status Not Known - Male,Status Not Known - Female,Status Not Known - Transgender,Status Not Known - Total,Total - Male,Total - Female,Total - Transgender,Total
1,State,Andhra Pradesh,558,369,0,927,2789,1194,0,3983,80,57,0,137,13,14,0,27,4,0,0,4,88,57,0,145,563,273,0,836,4095,1964,0,6059
2,State,Arunachal Pradesh,23,21,0,44,44,17,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,5,0,15,78,43,0,121
3,State,Assam,592,326,0,918,1386,650,0,2036,5,5,0,10,9,10,0,19,0,0,0,0,6,1,0,7,28,5,0,33,2026,997,0,3023
4,State,Bihar,98,88,0,186,97,95,0,192,4,9,0,13,0,16,0,16,1,0,0,1,2,0,0,2,1,0,0,1,203,208,0,411
5,State,Chhattisgarh,1096,651,0,1747,3003,1193,0,4196,118,78,0,196,3,11,0,14,2,3,0,5,176,103,0,279,184,84,0,268,4582,2123,0,6705
6,State,Goa,73,21,0,94,124,45,0,169,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,203,70,0,273
7,State,Gujarat,993,649,2,1644,3712,1869,0,5581,82,80,0,162,51,23,0,74,133,28,1,162,41,29,0,70,37,5,0,42,5049,2683,3,7735
8,State,Haryana,520,155,0,675,1822,504,0,2326,33,12,0,45,2,0,0,2,0,0,0,0,189,17,0,206,340,71,0,411,2906,759,0,3665
9,State,Himachal Pradesh,101,41,0,142,257,145,0,402,8,10,0,18,0,12,0,12,11,8,0,19,37,11,0,48,1,0,0,1,415,227,0,642
10,State,Jammu & Kashmir,41,34,0,75,88,53,0,141,0,0,0,0,0,0,0,0,0,0,0,0,34,24,0,58,33,22,0,55,196,133,0,329
11,State,Jharkhand,162,78,0,240,555,262,0,817,7,7,0,14,3,5,0,8,16,3,0,19,120,61,0,181,10,3,0,13,873,419,0,1292
12,State,Karnataka,1359,651,0,2010,5145,1991,0,7136,100,58,0,158,43,16,0,59,95,23,0,118,455,254,0,709,440,57,0,497,7637,3050,0,10687
13,State,Kerala,948,356,0,1304,4477,1249,0,5726,128,99,0,227,52,17,0,69,71,11,0,82,176,27,0,203,83,11,0,94,5935,1770,0,7705
14,State,Madhya Pradesh,1408,1069,0,2477,4500,2816,0,7316,159,120,0,279,16,19,0,35,41,30,0,71,115,109,0,224,28,12,0,40,6267,4175,0,10442
15,State,Maharashtra,2340,1158,3,3501,10170,2958,0,13128,141,111,0,252,56,35,0,91,22,6,0,28,120,39,0,159,28,8,0,36,12877,4315,3,17195
16,State,Manipur,5,4,0,9,16,12,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,37
17,State,Meghalaya,54,19,0,73,61,19,0,80,1,3,0,4,0,1,0,1,3,0,0,3,1,0,0,1,4,0,0,4,124,42,0,166
18,State,Mizoram,42,8,0,50,29,9,0,38,1,2,0,3,17,4,0,21,4,0,0,4,2,1,0,3,5,0,0,5,100,24,0,124
19,State,Nagaland,9,5,0,14,9,5,0,14,2,1,0,3,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,21,13,0,34
20,State,Odisha,558,444,0,1002,1224,689,0,1913,4,19,0,23,4,12,0,16,23,13,0,36,258,198,0,456,299,159,0,458,2370,1534,0,3904
21,State,Punjab,253,75,0,328,748,208,0,956,7,1,0,8,8,1,0,9,41,0,0,41,0,0,0,0,90,8,0,98,1147,293,0,1440
22,State,Rajasthan,550,229,1,780,1857,802,0,2659,27,14,0,41,14,3,0,17,3,0,0,3,96,35,0,131,40,7,0,47,2587,1090,1,3678
23,State,Sikkim,68,26,0,94,108,48,0,156,4,2,0,6,2,3,0,5,2,0,0,2,0,0,0,0,0,0,0,0,184,79,0,263
24,State,Tamil Nadu,2318,1162,5,3485,7508,3491,0,10999,104,158,0,262,14,14,0,28,209,90,0,299,45,18,0,63,33,13,0,46,10231,4946,5,15182
25,State,Telangana,1216,774,1,1991,3989,1589,0,5578,64,122,0,186,328,24,0,352,82,38,0,120,454,103,0,557,183,51,1,235,6316,2701,2,9019
26,State,Tripura,127,56,0,183,305,151,0,456,3,9,0,12,18,7,0,25,0,0,0,0,0,0,0,0,1,0,0,1,454,223,0,677
