Sl. No.,Category,State/UT,Un-Married - Male,Un-Married - Female,Un-Married - Transgender,Un-Married - Total,Married - Male,Married - Female,Married - Transgender,Married - Total,Widowed/Widower - Male,Widowed/Widower - Female,Widowed/Widower - Transgender,Widowed/Widower - Total,Divorcee - Male,Divorcee - Female,Divorcee - Transgender,Divorcee - Total,Separated - Male,Separated - Female,Separated - Transgender,Separated - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Status Not Known - Male,Status Not Known - Female,Status Not Known - Transgender,Status Not Known - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,655,317,0,972,2745,1119,0,3864,54,34,0,88,2,0,0,2,54,30,1,85,61,30,1,92,180,36,0,216,3751,1566,2,5319
2,State,Arunachal Pradesh,33,18,0,51,40,13,0,53,1,0,0,1,0,0,0,0,0,0,0,0,13,2,0,15,9,3,0,12,96,36,0,132
3,State,Assam,443,186,0,629,1023,455,0,1478,19,11,0,30,23,16,0,39,15,2,0,17,132,30,0,162,21,3,0,24,1676,703,0,2379
4,State,Bihar,131,73,0,204,107,90,0,197,2,6,0,8,2,13,0,15,0,0,0,0,13,3,0,16,3,0,0,3,258,185,0,443
5,State,Chhattisgarh,1313,691,0,2004,3252,1242,0,4494,153,62,0,215,8,4,0,12,2,1,0,3,212,51,0,263,39,16,0,55,4979,2067,0,7046
6,State,Goa,74,17,0,91,108,40,0,148,1,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,11,2,0,13,195,61,0,256
7,State,Gujarat,1122,651,0,1773,3782,1782,0,5564,120,87,0,207,54,36,0,90,45,13,0,58,0,0,0,0,87,14,0,101,5210,2583,0,7793
8,State,Haryana,626,189,0,815,1937,526,0,2463,70,19,0,89,27,5,0,32,12,0,0,12,47,14,0,61,63,12,0,75,2782,765,0,3547
9,State,Himachal Pradesh,164,83,0,247,320,161,0,481,6,3,0,9,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,493,247,0,740
10,State,Jammu & Kashmir,62,90,0,152,72,61,0,133,0,0,0,0,1,0,0,1,0,0,0,0,19,18,0,37,1,6,0,7,155,175,0,330
11,State,Jharkhand,351,149,0,500,499,237,0,736,21,9,0,30,13,7,0,20,8,2,0,10,7,1,0,8,10,3,0,13,909,408,0,1317
12,State,Karnataka,1753,693,3,2449,6348,2272,0,8620,91,77,0,168,24,21,0,45,19,4,0,23,81,33,0,114,99,43,0,142,8415,3143,3,11561
13,State,Kerala,947,355,0,1302,5100,1366,0,6466,106,64,0,170,74,45,0,119,83,21,0,104,44,22,0,66,10,0,0,10,6364,1873,0,8237
14,State,Madhya Pradesh,1729,1238,1,2968,5504,2974,0,8478,115,107,0,222,13,16,0,29,4,4,0,8,5,2,0,7,56,7,0,63,7426,4348,1,11775
15,State,Maharashtra,2565,1146,0,3711,10582,3154,0,13736,172,97,0,269,39,29,0,68,20,10,0,30,24,14,0,38,95,24,1,120,13497,4474,1,17972
16,State,Manipur,17,7,0,24,18,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,0,52
17,State,Meghalaya,63,17,0,80,71,15,0,86,1,0,0,1,0,2,0,2,4,1,0,5,0,0,0,0,12,3,0,15,151,38,0,189
18,State,Mizoram,35,6,0,41,24,5,0,29,1,0,0,1,4,1,0,5,3,0,0,3,0,0,0,0,0,0,0,0,67,12,0,79
19,State,Nagaland,16,1,0,17,13,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,6,0,36
20,State,Odisha,441,459,0,900,1160,1077,0,2237,0,0,0,0,0,0,0,0,0,0,0,0,87,180,0,267,619,569,0,1188,2307,2285,0,4592
21,State,Punjab,338,96,0,434,913,244,0,1157,22,11,0,33,7,5,0,12,2,0,0,2,0,0,1,1,73,2,0,75,1355,358,1,1714
22,State,Rajasthan,589,286,0,875,1987,813,0,2800,17,10,0,27,3,2,0,5,3,2,1,6,375,106,0,481,114,25,0,139,3088,1244,1,4333
23,State,Sikkim,66,24,0,90,76,30,0,106,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,143,56,0,199
24,State,Tamil Nadu,2271,1176,0,3447,6607,3294,0,9901,104,133,0,237,51,45,0,96,101,35,0,136,30,5,2,37,15,27,0,42,9179,4715,2,13896
25,State,Telangana,909,471,0,1380,4204,1482,0,5686,111,133,0,244,69,57,0,126,89,60,0,149,24,14,0,38,206,16,0,222,5612,2233,0,7845
26,State,Tripura,168,87,0,255,324,139,0,463,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,493,227,0,720
27,State,Uttar Pradesh,688,422,0,1110,1914,1402,0,3316,19,14,0,33,14,8,0,22,18,12,0,30,58,30,0,88,180,70,0,250,2891,1958,0,4849
28,State,Uttarakhand,81,59,0,140,150,103,0,253,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,14,10,0,24,249,172,0,421
29,State,West Bengal,1687,1189,0,2876,4582,3141,0,7723,44,181,0,225,78,105,0,183,59,88,0,147,387,230,0,617,993,491,0,1484,7830,5425,0,13255
State,State,Total (States),19337,10196,4,29537,63462,27252,0,90714,1251,1062,0,2313,507,418,0,925,542,285,2,829,1625,785,4,2414,2912,1382,1,4295,89636,41380,11,131027
30,Union Territory,A & N Islands,39,15,0,54,69,37,0,106,1,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,110,54,0,164
31,Union Territory,Chandigarh,49,12,0,61,69,27,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,120,40,0,160
32,Union Territory,D & N Haveli,32,17,0,49,30,19,0,49,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,38,0,101
33,Union Territory,Daman & Diu,12,2,0,14,17,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,35
34,Union Territory,Delhi (UT),495,264,0,759,1101,390,0,1491,4,6,0,10,13,5,0,18,12,1,0,13,54,38,0,92,100,43,0,143,1779,747,0,2526
35,Union Territory,Lakshadweep,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
36,Union Territory,Puducherry,21,6,0,27,42,13,0,55,0,0,0,0,0,0,0,0,4,2,0,6,113,61,0,174,194,44,0,238,374,126,0,500
Union Territory,Union Territory,Total (UTs),650,316,0,966,1329,490,0,1819,6,10,0,16,13,5,0,18,17,3,0,20,167,99,0,266,296,88,0,384,2478,1011,0,3489
Total (All India),Total (All India),Total (All India),19987,10512,4,30503,64791,27742,0,92533,1257,1072,0,2329,520,423,0,943,559,288,2,849,1792,884,4,2680,3208,1470,1,4679,92114,42391,11,134516
