Category,State/UT,Un-Married_male,Un-Married_Female,Un-Married_Trans,Un-Married_Total,Married_male,Married_Female,Married_Trans,Married_Total,Widowed/Widower_male,Widowed/Widower_Female,Widowed/Widower_Trans,Widowed/Widower_Total,Divorcee_male,Divorcee_Female,Divorcee_Trans,Divorcee_Total,Separated_male,Separated_Female,Separated_Trans,Separated_Total,Others_male,Others_Female,Others_Trans,Others_Total,Status Not Known_male,Status Not Known_Female,Status Not Known_Trans,Status Not Known_Total,Total_male,Total_Female,Total_Trans,Total_Total
State,ANDHRA PRADESH,986,467,0,1453,3458,1114,0,4572,32,80,0,112,39,25,0,64,65,30,0,95,27,1,0,28,133,8,0,141,4740,1725,0,6465
State,ARUNACHAL PRADESH,30,15,0,45,30,14,0,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,15,2,0,17,81,31,0,112
State,ASSAM,576,230,0,806,995,390,0,1385,23,11,0,34,42,33,0,75,31,24,0,55,12,3,0,15,0,0,0,0,1679,691,0,2370
State,BIHAR,190,108,0,298,190,125,0,315,0,3,0,3,9,10,0,19,3,0,0,3,3,0,0,3,0,0,0,0,395,246,0,641
State,CHHATTISGARH,1499,734,0,2233,3128,1072,0,4200,116,57,0,173,3,1,0,4,4,0,0,4,205,69,0,274,565,176,0,741,5520,2109,0,7629
State,GOA,83,17,0,100,114,41,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,201,58,0,259
State,GUJARAT,1120,630,1,1751,3752,1739,0,5491,104,78,0,182,50,28,0,78,30,8,0,38,1,0,0,1,111,3,0,114,5168,2486,1,7655
State,HARYANA,610,199,0,809,2338,629,0,2967,26,11,0,37,0,0,0,0,0,0,0,0,162,21,0,183,161,34,0,195,3297,894,0,4191
State,HIMACHAL PRADESH,105,51,0,156,253,144,0,397,11,9,0,20,3,3,0,6,5,0,0,5,0,0,0,0,0,0,0,0,377,207,0,584
State,JAMMU & KASHMIR,60,62,0,122,76,55,0,131,0,1,0,1,0,1,0,1,0,0,0,0,17,8,0,25,4,0,0,4,157,127,0,284
State,JHARKHAND,417,229,0,646,560,303,0,863,55,23,0,78,13,17,0,30,5,3,0,8,6,1,0,7,10,4,0,14,1066,580,0,1646
State,KARNATAKA,1775,668,2,2445,6280,2028,0,8308,72,69,0,141,54,38,0,92,34,17,0,51,67,27,0,94,131,26,0,157,8413,2873,2,11288
State,KERALA,1038,371,0,1409,5230,1362,0,6592,115,90,0,205,71,17,0,88,68,19,0,87,95,23,0,118,51,6,0,57,6668,1888,0,8556
State,MADHYA PRADESH,1860,1291,2,3153,6000,2936,0,8936,164,73,0,237,30,21,0,51,7,14,0,21,12,4,0,16,34,9,0,43,8107,4348,2,12457
State,MAHARASHTRA,2757,1193,2,3952,11309,3073,0,14382,177,106,0,283,58,39,0,97,50,9,0,59,55,12,0,67,60,16,0,76,14466,4448,2,18916
State,MANIPUR,17,13,0,30,17,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,36,22,0,58
State,MEGHALAYA,63,18,0,81,93,14,0,107,0,0,0,0,5,0,0,5,4,1,0,5,0,0,0,0,0,0,0,0,165,33,0,198
State,MIZORAM,27,9,0,36,25,7,0,32,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,54,16,0,70
State,NAGALAND,17,4,0,21,19,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,41
State,ODISHA,558,617,0,1175,447,217,0,664,0,3,0,3,0,0,0,0,0,0,0,0,133,160,0,293,1458,989,0,2447,2596,1986,0,4582
State,PUNJAB,473,140,0,613,1243,380,0,1623,32,8,0,40,6,1,0,7,3,2,0,5,1,0,1,2,59,8,0,67,1817,539,1,2357
