State/UT,male unmarried,female unmarried,total unmarried,male married,female married,total married
1  ANDHRA PRADESH,950,425,1377,4042,1406,5448
2  ARUNACHAL PRADESH,40,22,62,47,15,62
3  ASSAM,757,311,1068,1496,568,2064
4  BIHAR,231,147,378,204,184,388
5  CHHATTISGARH,1341,773,2114,3678,1330,5008
6  GOA,103,17,120,120,49,169
7  GUJARAT,1296,701,1999,4005,1756,5761
8  HARYANA,815,261,1076,1949,594,2543
9  HIMACHAL PRADESH,171,79,250,374,212,586
10 JHARKHAND,631,345,976,645,380,1025
11 KARNATAKA,2116,757,2873,6624,2142,8766
12 KERALA,1188,412,1600,5010,1358,6368
13 MADHYA PRADESH,2533,1596,4129,6887,3190,10077
14 MAHARASHTRA,3337,1297,4637,11526,2977,14503
15 MANIPUR,15,7,22,12,10,22
16 MEGHALAYA,66,37,103,84,21,105
17 MIZORAM,50,10,60,35,10,45
18 NAGALAND,16,6,22,18,5,23
19 ODISHA,209,146,355,367,152,519
20 PUNJAB,618,199,817,1307,413,1720
21 RAJASTHAN,1165,481,1646,2704,1064,3768
22 SIKKIM,97,25,122,111,41,152
23 TAMIL NADU,2622,1264,3889,8474,3645,12122
24 TELANGANA,1082,435,1518,4540,1592,6132
25 TRIPURA,142,68,210,454,180,634
26 UTTAR PRADESH,878,480,1358,2005,1015,3020
27 UTTARAKHAND,208,98,306,445,171,616
28 WEST BENGAL,1497,1003,2500,4172,2914,7086
TOTAL (STATES),24174,11402,35587,71335,27394,98732
UNION TERRITORIES,,,,,,
29 A & N ISLANDS,38,13,51,84,34,118
30 CHANDIGARH,26,23,49,53,25,78
32 DELHI (UT),619,310,929,1454,542,1996
33 JAMMU & KASHMIR,52,53,105,77,60,137
34 LADAKH,3,1,4,7,1,8
35 LAKSHADWEEP,1,0,1,0,1,1
36 PUDUCHERRY,8,8,16,19,6,25
TOTAL (UTs),792,424,1216,1758,691,2449
TOTAL (ALL INDIA),24966,11826,36803,73093,28085,101181
"As per data provided by States/UTs. 
",,,,,,
